id,company_name,domain_name,specialties,short_description,about_us,horizontal,technology_segment1,technology_segment2,technology_segment3,technology_segment4,business_model
212557,Context Optional,contextoptional.com,"Social Media Marketing,Social CRM",SaaS-based social marketing software provider that allows users to build and manage their brand presence on social media.,"Context Optional provides social marketing software and services to global brands and advertising agencies.   The company offers marketers comprehensive solutions to build, manage, monitor and measure brand presence across the social web. By combining industry expertise, a leading technology platform, and comprehensive analytics into an integrated approach, Context Optional delivers effective social CRM and marketing solutions to Fortune 500 brands and agencies.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Social Media,Marketing-Content Marketing-Content Distribution-Social Media
294427,Pagemodo,pagemodo.com,"Information Services,Information Technology",Pagemodo is an online tool for customizing and managing Facebook fan pages without the need for any designing or coding skills.,"Pagemodo (previously Fanbuilders) is an online tool for designing Facebook fan pages. With Pagemodo, any person or business can create a custom Facebook page for free, and present themselves and their products on their fan page without any technical or graphic skills needed.  Pagemodo was founded by two Danish internet entrepreneurs, and was acquired by website-service Webs.com in February of 2011.  Pagemodo relaunched as Pagemodo 2.0 on June 27, adding new features including user-customized templates, 'Like' gates, video pages, coupons, maps & locations, Twitter feeds, and contact forms.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Social Media,Marketing-Content Marketing-Content Distribution-Social Media
31056,Adimo,adimo.co,"Shopping,Advertising Platforms,Marketing,Internet",Admio integrates with any form of marketing to make it shoppable.,"Adimo integrates with any form of marketing to make it shoppable.  FMCG / CPG marketing does a great job of helping shoppers choose products. But it does a bad job of helping them buy them. Adimo makes life easier by time-shifting the fuss of buying, allowing shoppers to add products directly to their online grocery basket for later purchase.",Enterprise Apps,Marketing,Conversion Rate Optimization,0,0,Marketing-Conversion Rate Optimization-0-0
315672,Sendtopia,sendtopia.com,Mobile,Business Text Messaging,Business Text Messaging,Enterprise Apps,Marketing,Content Marketing,Content Distribution,Mobile,Marketing-Content Marketing-Content Distribution-Mobile
38415,Inflyte,inflyteapp.com,"Mobile,Analytics,Music",Mobile Music Promo Platform,"Inflyte is the world's first online platform for the distribution of music promo to mobile, developed for music industry tastemakers to review music on their mobile devices and leave feedback on the move, while providing content providers with detailed real-time insights, analytics and intelligence on campaign performance.   Our mission is creating an unrivalled end-to-end user experience that saves time, creates efficiencies and opportunities for content distributors to effortlessly engage with tastemakers using mobile technology.  Awarded Invest NI 'Company Of The Year' Award in 2014, Inflyte works with some of the most recognized labels in the music industry including Sony Music, Ministry Of Sound, Ultra, Defected, Ram Records and many more.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
228595,Ennect,ennect.com,Software,Ennect is a developer of marketing software for companies to organize and track their marketing efforts.,"Ennect offers award-winning marketing software that empowers you to rapidly deploy email, survey, sweepstakes, and event management campaigns to stage memorable customer experiences.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Email,Marketing-Content Marketing-Content Distribution-Email
85311,DMT,dmt.global,Information Technology,DMT has provided the global automotive industry with cutting-edge SaaS software,"For nearly 20 years, DMT has provided the global automotive industry with cutting-edge software focused on improving lead generation and management, information flow, and customer relations for both manufacturers and dealers. DMT serves more than 1,400 clients in more than 20 languages in nearly 30 countries on three continents. A privately held company, DMT is headquartered on the University of Manitoba campus in Winnipeg, Manitoba, with offices in Toronto, Ontario, Paris, France and London, U.K.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
279691,Mobifi,mobifi.com,"SMS,Messaging,Mobile",Mobifi is a business service provider such as SMS text messaging and also applications provider.,"Mobifi provides a flexible range of SMS text messaging services for business users.  Our product portfolio includes bulk SMS, email to SMS, SMS to email, inbound SMS using Short Codes or Virtual Mobile Numbers and SMS alerts & notifications. We also design, develop and manage bespoke messaging applications.  Mobifi provides services to organisations in all business sectors; government, retail, media, finance, information technology, housing, travel and education.  Customers include the NHS, Provident Insurance, TGI Fridays, Pizza Hut, Yotel and Which? Magazine.  Located in London, Mobifi provides services to customers in the UK, Europe, North America and the Middle East. Mobifi is a privately owned and funded company.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Mobile,Marketing-Content Marketing-Content Distribution-Mobile
301228,Predictive Response,predictiveresponse.com,"Predictive Analytics,Service Industry,Manufacturing","Predictive Response is headquartered in Los Gatos, California.","Our products allow you to develop, deploy, and manage adaptive, branching, newsletter and drip email campaigns to nurture your prospects. We here to ensure you reach your email and marketing automation goals. We've done our very best to create powerful e-marketing solutions for you that are designed within the Salesforce interface you already know. Predictive Response offers free training to get you on the path to success as quickly as possible and live support and systems are available to respond quickly to the needs and questions of all our valued customers.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Email,Marketing-Content Marketing-Content Distribution-Email
248738,Hello Bar,hellobar.com,"Video Streaming,E-Learning,Video",The Hello Bar is a customizable notification bar that draws visitors to an important call to action on the website.,"The Hello Bar is a customizable, relatively unobtrusive bar that sits at the top of a website and directs visitors with a call to action. For example, the bar on Gary Vaynerchuk‰Ûªs website prompts visitors to ‰ÛÏCircle me up on Google+!‰Ûù, while the one at Eric Ries‰Ûª Startup Lessons Learned points to the video of his Lean Startup track at this year‰Ûªs SXSW.",Enterprise Apps,Marketing,Conversion Rate Optimization,0,0,Marketing-Conversion Rate Optimization-0-0
