,domain_name,Test_document,Expected_result,decision_model_3,decision_model_3_accuracy
124,cashbus.com,financi servic financi servic cashbus microfin compani cashbus microfin compani establish 2014 headquart shanghai offer small short-term micro instal loan underbank china,Personal loans,Working Capital ,39.726027397260275
116,jiedaibao.com,app mobil app app mobil app jiedaibao develop mobli applic financi lend applic jiedaibao internet financ acquaint lend platform,Personal loans,Purchase Financing ,39.726027397260275
279,westcreekfin.com,financ financi servic fintech financ financi servic fintech west creek financi found help consum obtain financ purchas good west creek financi found help consum obtain financ purchas good servic want time help merchant servic supplier increas sale provid financ today??? tough econom time mani credit-worthi consum find increas hard get approv financ tradit bank financ compani tighten credit requir west creek??? founder deep lend expertis previous made signific credit risk improv largest us financi institut passion ensur custom store enabl get merchandis want,Purchase Financing ,Others,39.726027397260275
20,smartbizloans.com,e-commerc financi servic lend e-commerc financi servic lend smartbiz loan www.smartbizloans.com uniqu combin onlin sba loan marketplac bank enabl technolog platform smartbiz loan 1 onlin sba loan marketplac small busi loan intellig technolog platform make appli sba loan fast easi increas likelihood approv small busi match borrow sba prefer lend bank like fund particular busi 90 95 loan smartbiz refer bank partner get fund bank partner use smartbiz platform origin underwrit sba loan compliant manner also process loan 70 90 effici base financi district san francisco smartbiz loan privat held compani found 2009 team experienc financi servic entrepreneur back lead ventur capit firm includ investor growth capit venrock first round capit baselin ventur softtech vc,Term loans,Term loans,39.726027397260275
65,trustingsocial.com,analyt big data ident manag social media analyt big data ident manag social media trust social build next generat credit score base social data make lend faster cheaper friendlier trust social provid consum credit score base social web mobil data solut enabl lender emerg market lend billion ???financi invisible??? consum cover credit bureaus test proven accur faster cheaper exist solut,Others,Others,39.726027397260275
270,zibby.com,"big data e-commerc financ big data e-commerc financ zibbi cognic compani nonprim payment option onlin shopper zibbi help retail captur price sensit custom zibbi consum leas platform onlin brick mortar omnichannel retail custom appli 30 second in-stor via zibbi button retailer??? websit approv 300 3,500 zibbi increas retail sale provid fast easi leas payment option nonprim consum seek acquir furnitur applianc electron consum durabl zibbi found cornel univers base new york citi",Purchase Financing ,Purchase Financing ,39.726027397260275
341,quiklo.com,"lend softwar lend softwar quiklo micro-lend platform student enabl electron purchas emi quiklo build proprietari next generat credit risk engin use 1,000+ data point includ deriv data build robust underwrit manag strategi data point deriv multipl non-tradit altern data sourc cater segment credit histori cibil score believ segment equal aspir credit worthi one cibil score core technolog determin credit worthi borrow among young milleni",Purchase Financing ,Others,39.726027397260275
163,taplend.com,app credit financi servic app credit financi servic taplend financi help platform give access fast safe 100 onlin loan provid peopl financi institut taplend financi help servic peopl get 2500 pound minut provid friend lend compani problem it??? solv fair common us ?? ? situat need money urgent get ???right now??? compani found 1 year ago sinc time taplend??? team achiev lot ?? ? particip three acceler program technat usa/kazakhstan hub raum deutsch telekom poland sellalab itali collabor level39 uk last one still go finish decemb london mechan taplend quit plain one user download applic set desir amount money return term submit detail inform send request via servic friend credit compani request accept take 2 minut averag money come user??? bank account mobil wallet,Personal loans,Personal loans,39.726027397260275
166,payjoy.com,financi servic fintech mobil financi servic fintech mobil payjoy provid smartphone-en consum financ solut payjoy provid smartphone-en consum financ solut enabl custom purchas pay electron item time chang upfront purchas pay-as-you-go month instal company??? technolog lock devic unless month payment made improv custom payment rate offer financ solut smartphon wash machin tvs air condition bring middle-class lifestyl peopl around world compani found 2015 base saratoga california unit state,Purchase Financing ,Purchase Financing ,39.726027397260275
130,prosper.com,crowdfund financ fintech lend person financ crowdfund financ fintech lend person financ first marketplac lender u. prosper marketplac help peopl get top financ prosper??? mission advanc financi well-b company??? onlin lend platform connect peopl want borrow money individu institut want invest consum credit borrow get access afford fixed-r fixed-term person loan investor opportun earn solid return via data-driven underwrit model date 10 billion person loan origin prosper platform debt consolid larg purchas home improv project medic expens special occas prosper marketplac inc. found 2005 headquart san francisco lend platform own prosper fund llc subsidiari prosper marketplac inc. loan origin prosper marketplac made webbank member fdic visit www.prosper.com follow prosperloan learn prosper note offer prospectus,Personal loans,Lead generation platform,39.726027397260275
148,propellr.com,financi servic fintech real estat financi servic fintech real estat propellr provid institut famili offic individu w/direct access altern invest typic avail select propellr llc provid small institut famili offic accredit investor direct access altern invest opportun typic avail institut investor power user-friend interfac propellr curat high qualiti issuer suppli innov technolog market opportun direct investor launch 2013 todd lippiatt respect pillar new york real estat financ communiti wall street veteran propellr seek disrupt redefin antiqu construct industri grow team impass mind propellr process roll multipl innov altern asset class,Term loans,Term loans,39.726027397260275
329,microenergycredits.com,financi servic micro lend financi servic micro lend microenergi credit social enterpris provid consum develop countri clean energi product microenergi credit social enterpris provid consum develop countri clean energi product help microfin institut start clean energi lend program strengthen cloud-bas technolog last-mil servic scale carbon financ company??? product includ heat cook stove solar led light product solar home system water purif system clean household packag includ solar light effici stove water filter exact product specif packag vari local depend market research custom feedback given locat packag design local afford enough consum pay back microloan within 8 month microenergi credit co-found jame dailey https //www.crunchbase.com/person/james-dailey-2 april allderdic https //www.crunchbase.com/person/april-allderdic 2007 base seattl washington,Others,Personal loans,39.726027397260275
208,faircent.com,bank financi servic lend bank financi servic lend faircent.com websit borrow lender connect direct faircent help elimin high margin intermediari like bank financi institut make transact bank massiv overhead thousand employe pay hundr branch maintain bank must take larg margin money pass wherea faircent.com peopl spare money lend direct peopl want borrow bank middl huge overhead,Personal loans,Personal loans,39.726027397260275
31,emoneyunion.com,financ financ provid individu spare save opportun becom person lender screen profil borrow provid individu spare save opportun becom person lender screen profil borrow unlik peer peer platform platform financi inclus accept loan applic low credit score borrow borrow low credit score need obtain back high credit score person guarantor boost chanc obtain loan,Personal loans,Others,39.726027397260275
321,incred.com,incr,Others,Others,39.726027397260275
215,himaxwell.com,credit financi servic fintech credit financi servic fintech mortgag get whole lot easier hi re maxwel we???r mission revolution 8.5t residenti mortgag market reimagin loan offic work togeth homebuy real estat agent buy home connect network one seamless intuitively-design platform focus isn???t paperwork it??? place call home,Lead generation platform,Others,39.726027397260275
14,enduranceln.com,"crowdfund financ fintech crowdfund financ fintech endur lend network web-bas lender small medium busi unit state endur lend network web-bas lender focus small medium busi unit state provid loan 25,000 500,000 high-qual entrepreneur look expans capit equip purchas general need",Term loans,Working Capital ,39.726027397260275
115,purchasingpower.com,"e-commerc energi power grid e-commerc energi power grid found 2001 purchas power offer becom one countri 's premier purchas program employe found 2001 purchas power offer becom one countri 's premier purchas program employe atlanta-bas compani tap `` fastest-grow '' list sever lead busi public includ entrepreneur inc. magazin date purchas power servic 400,000 order employe lead compani organ across u.s. fortun 500 govern agenc",Purchase Financing ,Term loans,39.726027397260275
194,kredx.com,fintech internet marketplac peer peer fintech internet marketplac peer peer kredx india 's first onlin invoic discount platform kredx indian invoic discount platform provid short-term invest opportun small- medium-s enterpris india onlin platform develop proprietari credit risk assess model borrow technolog platform financi provid complet trade servic sourc curat invoic conduct due dilig use proprietari credit underwrit algorithm launch manish kumar anurag jain puneet agarw 2015 kredx partner bank account firm law firm ensur aspect servic compliant regul ensur consum protect time,Working Capital ,Personal loans,39.726027397260275
266,qupital.com,marketplac onlin portal trade platform marketplac onlin portal trade platform qupit digit trade marketplac buyer seller corpor receiv qupit digit trade marketplac buyer seller corpor receiv,Working Capital ,Personal loans,39.726027397260275
216,loan-street.com,bank content syndic financ bank content syndic financ loanstreet marketplac enabl effici syndic loan loan pool loanstreet new marketplac enabl effici syndic size loan loanstreet autom standard syndic origin matur enabl lender investor buy sell manag loan direct websit,Lead generation platform,Lead generation platform,39.726027397260275
243,upstart.com,credit financ financi servic fintech internet lend person financ credit financ financi servic fintech internet lend person financ upstart fund platform mentor network match student backer believ potenti upstart goe beyond fico score offer person loan compani 's proprietari underwrit model identifi high-qual borrow despit limit credit employ histori use variabl includ school attend area studi academ perform work experi upstart offer 3-year 5-year fix interest loan primarili use pay credit card consolid debt elimin student debt start busi pay person develop bootcamp,Personal loans,Term loans,39.726027397260275
237,ablelending.com,"credit financ fintech small medium busi credit financ fintech small medium busi abl lowest-cost onlin lender small busi loan nation partner network provid loan 25k- 1mm abl lowest-cost onlin lender small busi nation passion fund busi stage new kind loan let borrow get capit lower rate recruit support friend famili fan averag able??? borrow save 31,000 loan 25,000 1,000,000 abl ???more loan.??? connect extraordinari entrepreneur addit capit communiti resourc expert advic it??? time grow learn nomin favorit busi get pre-approv 1 minut visit www.ablelending.com",Term loans,Working Capital ,39.726027397260275
338,paydayone.com,consult financ person financ consult financ person financ payday one provid instal loan credit servic internet payday one lead provid payday loan internet sinc 2002 compani found one goal ???????? consumer-friend lender industri custom mean guarante price fast conveni loan process friend custom servic payday one subsidiari thinkcash inc. offic delawar nevada texa learn thinkcash visit corpor web site www.thinkcashfinancial.com,Personal loans,Personal loans,39.726027397260275
211,applepiecapital.com,financ financi servic marketplac financ financi servic marketplac altern financ platform franchis busi applepi capit marketplac lender provid fresh new approach franchis financ firm??? franchis loan marketplac enabl entrepreneur effici obtain financ start expand franchis busi applepi capit enabl investor earn attract fixed-incom return establish franchis brand know trust,Term loans,Working Capital ,39.726027397260275
176,clara.com,financi servic fintech person financ real estat financi servic fintech person financ real estat build fastest simplest way consum financ home clara combin advanc technolog dedic support simpl transpar home financ process clara special convent conform residenti home loan california offer follow product 30-year fix 25-year fix 20-year fix 15-year fix 7/1 arm 5/1 arm 3/1 arm offer purchas refin loan,Others,Term loans,39.726027397260275
151,weidai.com.cn,financi servic lend payment financi servic lend payment china-bas p2p lend platform weidai earli stage person credit system base china peer-to-p lend servic use vehicl collater weidai plan expand use properti collater provid person loan well,Personal loans,Purchase Financing ,39.726027397260275
272,octanelending.com,financi servic fintech insur point sale financi servic fintech insur point sale octan lend offer point sale financ insur platform nich consum market octan lend point sale financ platform focus nich consum lend market,Lead generation platform,Term loans,39.726027397260275
