,domain_name,Test_document,Expected_result,multinomial_model_9,multinomial_model_9_accuracy
85,smecorner.com,bank financ financi servic bank financ financi servic smecorn onlin platform enabl smes access loan easili bank nbfcs smecorn onlin platform enabl small medium enterpris access loan bank nbfcs smecorner.com found samir bhatia sneha shah base mumbai maharashtra,Others,Others,72.6027397260274
104,tiendapago.com,fintech fintech digit platform let small retail emerg market financ consum good enabl mobil cashless payment,Others,Others,72.6027397260274
164,neogrowth.in,busi develop financ fintech market research busi develop financ fintech market research neogrowth credit pvt ltd non-deposit take nbfc regist rbi provid short term busi loan indian merchant neogrowth oper non-bank financi compani india focus meet financi need small busi sell good servic consum offer busi financ servic small- medium-s retail compani sell apparel consum durabl electron item footwear accessori handicraft gift food groceri item optic good well restaur beauti salon hotel gymnasium health diagnost center neogrowth began commerci oper 2013,Others,Others,72.6027397260274
156,revolutioncredit.com,consum credit financ consum credit financ revolutioncredit engag platform help lender consum credit decis process revolutioncredit uniqu platform allow consum watch short entertain financi literaci video demonstr improv financi capabl like traffic school credit.?? allow financi institut identifi creditworthi custom extend access wider rang financi servic better price,Credit rating platforms,Others,72.6027397260274
65,trustingsocial.com,analyt big data ident manag social media analyt big data ident manag social media trust social build next generat credit score base social data make lend faster cheaper friendlier trust social provid consum credit score base social web mobil data solut enabl lender emerg market lend billion ???financi invisible??? consum cover credit bureaus test proven accur faster cheaper exist solut,Credit rating platforms,Others,72.6027397260274
38,achievelending.com,fintech fintech first-ev student loan comparison tool achievelend first-ev student loan comparison tool achievelending.com offer user free onlin portal search find compar student loan design help tradit non-tradit student find best student loan achiev lend first tool kind aggreg loan offer seek privat financ educ purpos take 30 second find choos best loan avail learn www.achievelending.com becom achiev lend affili commiss junction http //bit.ly/1ylqddi,Others,Others,72.6027397260274
349,smartpaylease.com,smartpay lease-to-own payment plan let??? custom shop devic accessori smartpay leas technology-driven compani work lead wireless retail prepaid phone compani provid innov devic leas solut nationwid use softwar data analyt solv hard problem underwrit consum minim credit histori consum get devic want today pay time easi schedul payment,Others,Others,72.6027397260274
215,himaxwell.com,credit financi servic fintech credit financi servic fintech mortgag get whole lot easier hi re maxwel we???r mission revolution 8.5t residenti mortgag market reimagin loan offic work togeth homebuy real estat agent buy home connect network one seamless intuitively-design platform focus isn???t paperwork it??? place call home,Others,Others,72.6027397260274
40,yindou.com,financi servic impact invest financi servic impact invest yindou compani suppli chain financ invest area,Others,Others,72.6027397260274
16,alltuition.com,financ financ alltuit onlin search engin enabl collag student find sourc financi aid alltuit onlin search engin enabl collag student find sourc financi aid track hundr student loan provid help student find best loan elig understand real cost borrow,Others,Others,72.6027397260274
297,digilend.in,financi servic financi servic digilend analyt technolog marketplac enabl individu like avail unsecur person loan digilend marketplac enabl individu like avail unsecur person loan differ need like educ travel holiday wed home improv debt consolid emerg need etc need cash loan bank loan look provid onlin instant quick loan competit interest rate digilend??? endeavour make get loan easier onlin instant credit evalu connect right lender provid everyon easi conveni access credit,Others,Others,72.6027397260274
260,microf.com,consum financi servic fintech payment consum financi servic fintech payment microf??? first-to-market rto product provid unmatch flexibl consum microf relationship-bas compani give prioriti want need custom offer rental purchas financ option wide rang consum innov rent-to-own strategi provid flexibl consum limit declin quick respons time multipl payment option various contract term choic microf establish 2010 accommod grow demand flexibl option replac residenti heat cool system,Others,Others,72.6027397260274
86,dripcapital.com,financi servic fintech financi servic fintech drip capit offer uniqu trade financ product target toward smes develop market drip capit offer uniqu trade financ product target toward smes develop market comprehens autom risk assess model allow rapid grow smes quick easi access financ focus technolog drip aim elimin hassl paperwork bureaucraci creat seamless borrow experi client drip consist team high qualifi financi consult engin analyst wharton stanford iit year experi standard charter black rock yahoo back lead silicon valley investor combin startx alway eager connect sharp mind grow quest becom futur global trade financ,Others,Others,72.6027397260274
241,renovateamerica.com,energi effici financi servic fintech water energi effici financi servic fintech water renov america lead way make home communiti energi water effici renov america provid financ solut home communiti area energi water unit state aim lead way make home communiti energi water effici compani offer hero program financ solut made possibl properti assess clean energi legisl partner citi counti implement low-risk scalabl program deliv multipl benefit includ energi save lower util bill reduc emiss new job local econom stimulus in-hous develop team creat custom tool support user product properti owner contractor municip leader,Mortgages,Others,72.6027397260274
119,capzest.com,consum lend financi servic fintech consum lend financi servic fintech capzest digit lend platform focus unsecur financ incom generat purpos capzest digit lend platform focus provid unsecur credit individu incom generat purpos secur partnership incom generat servic platform provid short term capit various stakehold use in-hous tech platform autom entir loan disburs collect process proprietari credit engin instant calcul individual??? credit profil take consider 1000 data point,0,Others,72.6027397260274
361,wezebra.com,internet internet countri 's first internet platform build intellig rent instal kingdom zebra zebra network technolog beij co. ltd. brand countri 's first internet platform build intellig rent instal commit nation 's renter provid simpl conveni servic rent instal use advanc internet technolog matur help peopl solv current urban popul rent heavi pressur china 's leader field rent instal mobil stage promot chengdu subsidiari compani kingdom zebra depth use comput scienc field intellig algorithm person recommend model short period time user handl rent instal servic commit internet technolog modern financi servic combin provid user perfect servic core team member well-known intern oper equip provid internet compani media 8 year internet develop stage oper experi technolog,Others,Others,72.6027397260274
169,zestfinance.com,analyt big data fintech machin learn analyt big data fintech machin learn zestfinance??? credit-decis platform help lender predict credit risk increas revenu reduc risk ensur complianc zestfin found world??? best data scientist mission use machin learn algorithm revolution credit decis made provid fair transpar credit everyon zest autom machin learn zaml??? platform zest 's uniqu credit-decis platform enabl lender analyz vast amount non-tradit credit data increas approv rate reduc risk credit decis particular thin-fil no-fil borrow like millenni platform also provid abil explain data model result measur busi impact compli regulatori requir,Credit rating platforms,Others,72.6027397260274
55,creditshop.com,consum lend financ financi servic consum lend financ financi servic creditshop offer afford onlin loan simpl payment plan mani borrow find unsecur person loan reason interest rate extrem difficult often borrow forc consid lender charg high interest rate hefti fee request valuabl item collater creditshop consum qualifi interest rate rang 18 30 creditshop custom make month payment time never pay ongo transact fee late fee annual fee prepay fee reason creditshop loan might smart choic cost less mani consum,Others,Others,72.6027397260274
48,coderloan.co,colleg recruit educ financi servic web develop colleg recruit educ financi servic web develop connect busi talent talent fund educ chang way fund educ train hire move past job site agenc us coderloan connect talent aspir coder compani look junior develop re student profession look career chang program help find right train program busi hire manag platform make easi identifi candid skill educ best match junior posit,Education Loans ,Others,72.6027397260274
272,octanelending.com,financi servic fintech insur point sale financi servic fintech insur point sale octan lend offer point sale financ insur platform nich consum market octan lend point sale financ platform focus nich consum lend market,Others,Others,72.6027397260274
261,ibanonline.com,e-commerc fintech share economi e-commerc fintech share economi iban crowdlend financi compani aim deliv better deal saver borrow iban first global fintech guarante fund lend us allow support social project financi secur iban verg lead huge improv global crowdlend model aim deliv better deal saver borrow care money,Mortgages,Others,72.6027397260274
66,cancapital.com,commerci lend financ financi servic fintech commerci lend financ financi servic fintech capit provid capit small medium-s busi use real-tim platform risk-scor model capit provid capit small medium-s busi use real-tim platform risk-scor model daili remitt platform allow lender access daili cash flow borrow collect daili remitt platform give lender window customers??? daili busi reli payment processor split settlement card transact small busi bank capit inc. former known capit access network inc. chang name capit inc. decemb 2013 compani found 1998 base new york unit state,Others,Others,72.6027397260274
310,cointribe.com,consum lend credit financ financi servic consum lend credit financ financi servic cointrib onlin lend marketplac provid small busi salari individu way get funds/capit cointrib oper onlin lend marketplac enabl small busi salari individu get fund capit company??? servic enabl compani appli busi person loan websit mobil applic cointrib found amit sachdev rohit lohia 2015 headquart gurgaon india,Others,Others,72.6027397260274
358,wanglibao.com,financi servic fintech risk manag financi servic fintech risk manag wanglibao focus accumul industri data enterpris inform wanglibao chines peer-to-p lend platform sell person financi product wealth manag product trust product mutual fund research develop team wanglibao 's financi product cover 20 citi across countri focus accumul industri data enterpris inform found 2014 compani receiv fund shenzhen-list hong opto-electron idg capit partner,Others,Others,72.6027397260274
120,slicepay.in,fintech fintech slicepay secur payment platform let colleg student shop onlin offlin store without pay everyth upfront buddi indian fintech startup offer digit credit vault student bangalor abl buy borrow credit pay back time use concept credit card student abl choos checkout pay back later end month also allow user buy product easi fix month instal,Others,Others,72.6027397260274
113,earnest.com,bank consum lend credit financi servic fintech bank consum lend credit financi servic fintech re build modern bank next generat base san francisco earnest technology-en lend compani use data scienc design softwar autom rebuild financi servic solut enabl custom renegoti loan repay amount interest rate exist loan compani evalu financially-respons people??? full educ employ financi profil base credit score reward better rate person loan student loan refinanc addit offer onlin dashboard give client tool need easili control custom loan payment compani establish 2013,Education Loans ,Others,72.6027397260274
116,jiedaibao.com,app mobil app app mobil app jiedaibao develop mobli applic financi lend applic jiedaibao internet financ acquaint lend platform,Others,Others,72.6027397260274
347,skiptonbusinessfinance.co.uk,enterpris softwar enterpris softwar skipton busi financ provid financi solut uk busi skipton busi financ provid financi solut uk busi core financi product invoic factor invoic discount,Others,Others,72.6027397260274
230,currencycap.com,financi servic financi servic currenc capit equip financ lend technolog invest compani heel great recess busi around countri found left behind commerci bank weren???t lend delay applic fund far long group financi expert along tech wizard decid take action engin technolog streamlin approv fund get complet financi pictur begin applic process result currenc sinc we???v help support busi 500 million loan,Others,Others,72.6027397260274
