ID,company_name,domain_name,industry,industry_segments,horizontal,Segment,technology_segment_2,technology_segments,business_solutions_tst,short_description,about_us
33624,"Clarify, Inc",clarify.io,"Media & Entertainment,Telecom",,Fintech,Digital Banking,Open Banking API,"Enterprise Apps:Content Delivery Network,Enterprise Apps:Media and Entertainment,Fintech:Analytics,Fintech:Digital Banking,Fintech:Omni Channel Banking,Fintech:Open Banking APIs","Pattern Recognition,3D property tours,RPA,Credit for consumers,Credit risk assessment",The world has moved beyond text. Our platform makes searching AV files simple for developers to integrate into their applications.,The world has moved beyond text. That simple understanding is at the heart of what we’re doing at Clarify (formerly OP3Nvoice). Ever since the invention of the Gutenberg press human knowledge has been preserved and communicated in text. The digital explosion has changed this. Now video and audio technologies enable the capture and storage of information in quantities that are mind-boggling. Just think of the huge volume of phone calls or conference videos that are recorded every day.
38429,InfoTrie Financial Solutions Pte Ltd.,infotrie.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Artificial Intelligence:Natural Language Processing (NLP),Fintech:Analytics,Fintech:Digital Banking,Fintech:InvestmentTech,Fintech:Omni Channel Banking,Fintech:Open Banking APIs,Fintech:Roboadvisors","Co-living spaces,Pattern Recognition,3D property tours,Credit for consumers,Credit risk assessment,Electronic Invoicing tools","Big Data, Financial Engineering and News Analytics company.","InfoTrie offers cutting edge technology to analyze the humongous flow of information produced by the financial industry. We uncover low signals for analysts and investors, alert them in real time, instantly cut the noise, research is fast-tracked and your systems fed through our low latency API. Crossing unstructured data with in house content and classical financial data we help you monitor your portfolio, build new breeds of investment strategies and ultimately generate Alpha.   Services offered:  	   1. Information portal, SaaS and APIs Our real time indexing engine and our semantic analysis solutions are available as simple subscriptions through our information portal FinSentS.com, as Software as a Service (SaaS), or via our real time APIs.   2. Trading Technology Our low latency and scalable proprietary trading technology allows you to place and execute orders, algorithmic strategies, monitor in real time market movements and hundreds of technical indicators.   3. Projects Our real time indexing engine and our semantic analysis solutions can be deployed on premises on a project basis, tuned to the client proprietary feeds and data and smoothly integrated to in-house systems. White labeling is possible.   4. Consultancy, advisory, training in Trading technologies, algorithmic trading, Big Data, Natural Language Processing (NLP) and Machine Learning."
270294,Moneythor,moneythor.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Artificial Intelligence:Applications,Artificial Intelligence:Finance,Artificial Intelligence:Marketing,Enterprise Apps:Content Distribution,Enterprise Apps:Content Marketing,Enterprise Apps:Marketing,Enterprise Apps:OmniChannel,Fintech:Analytics,Fintech:Digital Banking,Fintech:InvestmentTech,Fintech:Omni Channel Banking,Fintech:Open Banking APIs,Fintech:Personal Finance Management","Co living spaces,Peer to Peer lending,controlling water usage,Pattern Recognition,3D property tours,Credit for consumers,Credit risk assessment,Crossborder payment",Moneythor is a financial technology company delivering better digital banking for customers and enhanced marketing & analytics for banks.,"Moneythor enables financial institutions to deliver improved functionality and experience to their customers across their digital channels.  It provides a white-labelled solution to help financial institutions deliver contextual recommendations & insights to their customers within their existing online & mobile banking applications.  At the core of the solution is a flexible framework to enhance the digital banking experience of customers across all devices with out-of-the-box Web integration and a developer-friendly API.  The Moneythor solution also includes an engine to augment, classify and analyze transaction data in order to generate better insights for the bank and its customers."
56142,DSYNC,dsync.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Omni Channel Banking,Fintech:Open Banking APIs","Pattern Recognition,Credit risk assessment","DSYNC (Data Sync) is a live data integration platform that connects, transforms and orchestrates data between multiple disparate systems","DSYNC is a live data integration platform used by developers for making tedious task of integration simpler. The DSYNC platform is enterprise software that connects data and API's. Organizations can quickly integrate all forms of data across systems and applications at scale, with significantly improved performance and lower total cost of ownership than traditional data integration approaches.  DSYNC enables organizations to integrate applications, services and APIs without coding and simplifies complex mapping challenges. Our solution provides a high-speed services backbone and enables data connection in near real time. Our powerful built-in data mapper is intuitive and allows the manipulation of complex, legacy and vertical industry data formats with a graphical tool.  We have simplified the complexities of connecting data and traditional architectures across cloud and on-premise environments which accelerates development and reduces cost. Our solution can be deployed and in production in a matter of hours, due to its lightweight architecture and intuitive functionality."
84202,Creditcall,creditcall.com,,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Mobile wallets,Fintech:Omni Channel Banking,Fintech:Open Banking APIs,Fintech:Payment Gateway","Enterprise Collaboration,Pattern Recognition,Credit scoring,Credit risk assessment,Customer Relationship Management",CreditCall provides businesses with a payment gateway that accepts card payments from all devices.,"You've probably used our software when ordering a burger, paying for parking or booking a train ticket - without realising it! Creditcall develops the most trusted payment software for mobile, online, in-store, and self-service that is relied on in 38 countries, 24 hours a day, 365 days a year. Founded in 1996 with offices in Bristol and New York, our payment technology powers millions of customers worldwide, ensuring they can take payments worth billions, securely and reliably.   For more information please visit www.creditcall.com or follow on Twitter @creditcall."
104177,Technisys,technisys.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital only Banks,Fintech:Omni Channel Banking,Fintech:Open Banking APIs","Pattern Recognition,Sales Automation,Credit risk assessment",Technisys offers digital banking technologies for the financial services industry.,"Technisys is the digital banking technology company. Our leading edge Cyberbank Omnichannel and Digital Core solutions allow traditional banks to effectively transform to digital, and challenger, neo banks and fintech companies to jumpstart. We let our customers to differentiate through enhanced customer experiences, increase sales, engage with the ecosystem with Open APIs and create a platform for digital innovation.  For more information on the Next Banking Experience please visit www.technisys.com or @technisys.com
"
110557,Finxact,finxact.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Omni Channel Banking,Fintech:Open Banking APIs","Pattern Recognition,Credit risk assessment",Finxact is innovating the first enterprise class public cloud/private data Core-as-a-Service platform with a completely open banking API.,"Finxact is innovating the first enterprise class public cloud/private data Core-as-a-Service platform with a completely open banking API. The Finxact Core will allow banks to seamlessly deliver new services for today’s omni-channel consumer. The Finxact team has been at the forefront of banking software for 35+ years, revolutionizing the industry in the 1990s with the first real-time core banking solutions for Internet banks, and is now creating a new cloud-based core banking solution for today’s real-time, digital-first world. Learn more at www.Finxact.com."
121422,Cinchy,cinchy.co,,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Omni Channel Banking,Fintech:Open Banking APIs","Pattern Recognition,Credit risk assessment",Cinchy combines the simplicity and agility of the spreadsheet with the robustness and controls beyond that of an enterprise database.,Cinchy combines the simplicity and agility of the desktop spreadsheet with the robustness and controls beyond that of an enterprise database. Our customers deliver full-featured enterprise-grade technology solutions 2-10x faster.
151663,"SettleiTsoft, Inc.",settleitsoft.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Omni Channel Banking,Fintech:Open Banking APIs","Pattern Recognition,Credit risk assessment","SettleiTsoft, Inc. is a technology company founded for the design and development of it's flagship product SettleiTsoft®.","Settleitsoft Inc. was organized by a group of professionals with diverse backgrounds and unique insights related to software development, networking technology, finance and marketing to develop SettleiTsoft®. This innovative - patent pending - technology was released on December 2, 2016 and it is poised to take the debt settlement industry by storm. SettleiTsoft® is a FREE intuitive solution to an ever growing problem - Consumers being harassed by predatory collection practices as a result of defaulting on contractual debt obligations not only in the USA but worldwide.    The overall business strategy includes capturing a significant market share of the debt settlement and collection industries with its innovative web-BASED debt negotiation platform, which is “FREE”, intuitive, effective and easy to use.  SettleiTsoft® is DESIGNED to be the next generation of debt negotiation software facilitating the communication between debtors and creditors in a secure virtual environment.    Management- The Company’s directors are seasoned professionals with vast experience in the debt settlement industry, software engineering, logistics and marketing in all its forms.  The Company executives leverages over 12 years of extensive knowledge of its business model to ensure solid and efficient operations."
229627,FixSpec,fixspec.com,,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Omni Channel Banking,Fintech:Open Banking APIs","Pattern Recognition,Credit risk assessment",Accelerating Trading Connectivity,"FixSpec aims to make the job of making and maintaining trading connections faster and easier.  FixSpec was founded in late 2012 by Chris Lees who had experienced first-hand the inefficiencies of trading connectivity; despite well established, industry standard protocols, the job of making a new connection can be slow, manual, expensive and error-prone. Maintaining it when something changes is a nightmare.  Realizing that much of the inefficiency stems from the practice of documenting APIs in PDF documents, FixSpec replaces PDF with an interactive web specification and surrounds it with tools to make developing to an interface faster and easier."
