company_name,domain_name,id,horizontal,technology_segment1,technology_segment2,technology_segment3,ml_segment_data1_ap4_t1,ml_segment_data2_ap4_t1,business_model,specialties,short_description,about_us
LiveCapital,livecapital.com,93180,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"finance, online auctions, small and medium businesses",LiveCapital provides online small business financing.,"LiveCapital offers online businesses financing services. It offers its users with services such as DecisionExpress product that creates economic benefits through automating credit or lease decision processes and integrates workflows. Its technology and consulting solutions enables enterprises to make credit decisions, improves productivity, and achieves sales by providing credit to customers.
LiveCapital is a U.S.-based company that was founded in 1996 and the company was acquired by Dun & Bradstreet Credibility Corporation on July 27, 2005."
ApnaPaisa,apnapaisa.com,79328,FinTech,Alternative lending,Lead generation platform,0,Lead generation platform,Others,Alternative lending-Lead generation platform-0,"credit, finance, internet, marketplace","ApnaLoan is an online marketplace providing home loans, personal loans and credit cards for customers in India.","ApnaLoan is an online marketplace for home loans, personal loans and credit cards in India.  The idea is that on ApnaLoan, banks compete for your loan, which in turn means you get a better rate.  The company says ApnaLoan is the ""largest online marketplace for loans and credit cards.""
http://www.dialabank.com/emi-calculator.cfm"
Bill Me Later,billmelater.com,80881,FinTech,Alternative lending,Consumer lending,Purchase Financing ,Purchase Financing ,Others,Alternative lending-Consumer lending-Purchase Financing ,"credit, e-commerce, payments",Bill Me Later is a PayPal service that enables customers to purchase products without providing credit card details.,"Bill Me Later, Inc. provides payment and marketing technology solutions to multichannel retailers. It offers PayCapture, a set of credit tools; and Bill Me Later that enables customers to pay for purchases without providing credit card information. The company supports and delivers a suite of Web-engineered payment solutions; and offers consulting services in the areas of payments, risk management, marketing, and technology. 
Bill Me Later, Inc. was formerly known as I4 Commerce, Inc. and changed its name to Bill Me Later, Inc. in August, 2007. The company was founded in 2000 and is based in Timonium, Maryland. As of November 7, 2008, Bill Me Later, Inc. operates as a subsidiary of eBay Inc."
BFS Capital,bfscapital.com,80789,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"finance, financial services, venture capital",BFS Capital is experts in the working capital needs of small businesses.,"Delivering funding solutions is the reason they're in business
Theyâ€™re experts in the working capital needs of small businesses. Headquartered in South Florida, their technology-enabled financing platform provides up to $2 million in small business loans and merchant cash advances to businesses in all 50 states and Canada, and through their affiliate, Boost Capital, in the United Kingdom.
Theyâ€™ve delivered more than $1 billion in total financing to small- and mid-sized businesses across more than 400 industries, helping entrepreneurs like you to access working capital for any business need. A direct funding source and industry leader since 2002, they have years of experience and firm financial backing from institutional and bank partners, which has helped to solidify their position as the preferred funding source for small businesses. They're proud of their track record of success in supporting the dreams of thousands of customers â€“ 80% of whom are repeat business, resulting in a Better Business Bureau A+ rating."
Affordit.com,affordit.com,78427,FinTech,Alternative lending,Consumer lending,Purchase Financing ,Purchase Financing ,Others,Alternative lending-Consumer lending-Purchase Financing ,"e-commerce, online portals, shopping",Affordit.com is a site that enables customers to purchase products on a weekly payment basis.,"Affordit is a site that allows customers to purchase products by financing them into weekly payments. Customers will purchase the product sing a debit or credit card account, from that a down payment is deducted and consecutive weekly payments are also deducted."
rateGenius,rategenius.com,99934,FinTech,Alternative lending,Consumer lending,Auto Loans ,Others,Auto Loans ,Alternative lending-Consumer lending-Auto Loans ,"finance, online portals, service industry","rateGenius is a multi-state, web-based auto loan refinance and brokerage company.","Based in Austin, Texas, rateGenius is a multi-state, web-based auto loan refinance/brokerage company. By hosting a virtual marketplace, rateGenius brings together qualified borrowers and competitive lenders to create the best possible financing opportunity for our customers."
Think Finance,thinkfinance.com,104687,FinTech,Alternative lending,White label Platform,0,Others,White label Platform,Alternative lending-White label Platform-0,"finance, fintech, lending, personal finance",Think Finance provides lenders the ability to rapidly launch an online loan product with market-leading application and servicing features.,"Think Finance has been powering online lending for 15+ years using leading technology, analytics, risk and marketing services. The Cortex platform provides lenders the ability to rapidly launch an online loan product with market-leading application and servicing features to optimize portfolio results. With the Cortex platform, lenders can leverage secure technology for application, decisioning, origination and servicing along with optional risk management, marketing and operational services."
icanbuy,icanbuy.com,90190,FinTech,Alternative lending,Consumer lending,Mortgages,Others,Mortgages,Alternative lending-Consumer lending-Mortgages,"finance, fintech, real estate",Financial & Real Estate Consumer website,"Based in Santa Ana, California, and in business since 2006 Icanbuy provides accurate, real-time mortgage loan rates comparison instantly to consumers based on their unique financial and credit profiles. IcanbuyÃ¢â‚¬â„¢ s disruptive  technology platform was developed to cut through the confusion of the mortgage market to inform and empower homebuyers to make sound financial decisions and find lowest mortgage rates. Unlike traditional mortgage comparison sites that simply capture consumers information without providing any mortgage rates information Icanbuy provides the consumer with in depth loan and rate information  and allows the consumer to compare lenders and loan products and to select the lenders they want to work with.
Learn more at www.icanbuy.com ."
Lendinero,lendinero.com,39691,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"finance, fintech",Lendinero is a company providing short term alternative-funding to small and medium sized existing businesses.,"Lendinero is a venture capital firm that provides short-term funding solutions to SMEs.
Its ancillary services assists its clients with viewing and managing their accounts through the cloud. In addition, the firm offers a range of financial solutions for SMEs, including Lendireno loans, merchant cash advance loans, and SBA loans. In addition, the firm also carries out advisory services to assist its clients in obtaining finance.
Lendinero was founded in 2011 by Gil Zapata and is based in Florida."
Bilbus,bilbus.com,52063,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,finance,"Bilbus, a working capital platform, helps small businesses invoice, collect and connect with commercial lenders via a single dashboard.","Bilbus unlocks commercial lending to SMBs, giving businesses the visibility to work out when they will need cash and simplifying how they meet funding gaps. 
Bilbus is a working capital platform that enables small businesses to invoice, collect and connect with commercial lenders via a single dashboard."
LendFriend,lendfriend.com,39689,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,payments,"LendFriend offers software products that provide support for users during the loanâ€™s creation, proposal, approval and repayment.","LendFriend is a FinTech startup focused on undeserved lending markets.
The team has built 3 products:
- Online p2p lending platform targeting friends and family. Grew to $3MM+ loans.
- Multiple underwriting models utilizing proprietary data from traditional brick and mortar high-interest lenders. The identified customer profiles are targeted for larger loans with lower interest rates because their loan repayment is disproportional to their credit score.
- Online platform that matches high-risk borrowers with an aggregated network of online lenders and places these loans on prepaid cards. Product's purpose is to bank the underbanked.
LendFriend was part of **[AngelPad](http://angelpad.org) #3** in 2011."
Daric,daric.com,34546,FinTech,Alternative lending,Loan management platform,0,Others,Loan management platform,Alternative lending-Loan management platform-0,analytics,Daric is a peer-to-peer lending platform providing personal and small business loans.,Daric is a peer to peer lending platform that extends personal and small business loans at competitive rates using big data.
ProMED Healthcare Financing,promedhcf.com,99222,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,finance,ProMED Healthcare Financing is an alternative investment company specializing in medical practices and healthcare businesses.,"ProMED Healthcare Financing (formerly ProMAC) was founded in 2007 and is headquartered in Hauppauge, NY. ProMED Healthcare Financing is the first financing company that can fund against all types of electronic payments proceeds such as ACH, EFT, Credit Card Receipts, e-Check Processing, Recurring Debit, ARC, and Back Office Conversions."
Yattos,yattos.com,76840,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,finance,Yattos is a social funding platform that enables users to organize social funding circles using their Facebook accounts.,"Yattos is a new social funding platform based on the trust and reputation of your social inner circle.
Yattos lets you organize social funding circles (a.k.a. Yatto) using your Facebook account so you can invite your trusted friends, family, peers and dear ones.
Every participant in the Yatto will receive the social fund of the group in a different date to make his/her dream come true or fulfill personal causes such as family urgencies, education costs, healthcare, travel, computer for your kids, endeavor a worldwide cause, etc."
Endurance Lending Network,enduranceln.com,35510,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"crowdfunding, finance, fintech",Endurance Lending Network is a web-based lender for small and medium businesses in the United States.,"Endurance Lending Network is a web-based lender focused on small and medium businesses in the United States. We provide loans of between $25,000 and $500,000 to high-quality entrepreneurs looking for expansion capital, equipment purchases or more general needs."
L2C Inc.,l2c.com,92609,FinTech,Alternative lending,Credit rating platforms,0,Others,Credit rating platforms,Alternative lending-Credit rating platforms-0,"analytics, predictive analytics, service industry",L2C is the nation's leading provider of advanced consumer scoring and analytics solutions.,"L2C is the nation's leading provider of advanced consumer scoring and analytics solutions. L2C leverages alternative payment and asset data to create new predictive credit, collection and marketing scores for over 260 million Americans. L2CÃ¢â‚¬â„¢s clients include leading institutions in the financial service, retail, healthcare, automotive, telecommunication, and media and entertainment industries."
Alltuition,alltuition.com,50459,FinTech,Alternative lending,Lead generation platform,0,Lead generation platform,Others,Alternative lending-Lead generation platform-0,finance,Alltuition is an online search engine that enables collage students to find sources for financial aid.,"Alltuition is an online search engine that enables collage students to find sources for financial aid.
It tracks hundreds of student loan providers to help students find the best loans they are eligible for and to understand the real cost of borrowing."
Contigo Financial,contigofinancial.com,54615,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"credit, finance",Contigo Financial facilitates a web-based platform that provides employees with financial products such as short-term loans.,"Contigo is disrupting the subprime lending industry by offering innovative financial products to those with the least access to them, partnering with employers to provide socially-responsible short-term, low-cost loans offered as a benefit to employees who lack strong credit histories. Credit is extended to employees through a robust web-based platform and proprietary underwriting model. Contigo is a graduate of the Jumpstart Foundry accelerator program and a winner of Vanderbilt University's Sohr Grant for startups."
Community Sourced Capital,communitysourcedcapital.com,33969,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"crowdfunding, fintech",Community Sourced Capital build innovative financial systems for communities.,"They started Community Sourced Capital after a year of researching what they call sustainable finance. They were focused on a single question: what if financial systems were designed to strengthen communities?
Their company has grown from an idea to a robust community lending system. They've expanding outside the Pacific Northwest, attracting investors who want to help their business grow, and recruiting talented team members with diverse backgrounds. Theyâ€™re an energetic and passionate group of do-it-all personalities with backgrounds in small business management, socially-responsible investing, web technology, grassroots marketing and fundraising.
On a weekly basis, youâ€™ll find us engaged directly with small business owners, hanging out with innovative banking partners, and scouting new communities where they might one day be lucky enough to work."
PearFunds,pearfunds.com,67492,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"crowdfunding, lending, marketplace",An experienced team with a proven platform addressing the needs of the crowdfunding marketplace in South America.,"An experienced team with a proven platform addressing the needs of the crowdfunding marketplace in South America. With a megatrend opportunity, this is a team to bet on."
SmartBiz Loans,smartbizloans.com,112922,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"e-commerce, financial services, lending",SmartBiz Loans (www.smartbizloans.com) is a unique combination of an online SBA loan marketplace and a bank enabling technology platform.,"SmartBiz Loans is the #1 online SBA loan marketplace for small business loans. The intelligent technology platform makes applying for an SBA loan fast and easy while increasing the likelihood of approval for small businesses by matching the borrower with the SBA preferred lending bank most likely to fund their particular business. 90% to 95% of the loans SmartBiz refers to its bank partners get funded. Bank partners using the SmartBiz platform to originate and underwriter SBA loans in a compliant manner can also process these loans 70% to 90% more efficiently then before.
Based in the financial district of San Francisco, SmartBiz Loans is privately held. The company was founded in 2009 by a team of experienced financial services entrepreneurs with backing from leading venture capital firms including Investor Growth Capital, Venrock, First Round Capital, Baseline Ventures, and SoftTech VC."
iPawn,ipawn.com,61614,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"e-commerce, finance, small and medium businesses",iPawn is an e-commerce company that enables consumers to obtain short-term asset-based loans.,"iPawn is transforming the national credit market by offering short-term, affordable loans at competitive rates and with less risk than banks, payday lenders, brick & mortar pawn shops and other online services. 
Headquartered in Tyler, Texas, iPawn holds a Pawn license issued by the Office of Consumer Credit Commissioner.  For more information, please visit www.iPawn.com."
Insikt Ventures,insikt.com,61360,FinTech,Alternative lending,White label Platform,0,Others,White label Platform,Alternative lending-White label Platform-0,"consumer, finance, venture capital",Insikt Ventures is a white label loan origination and investment platform that enables investors to invest in consumer loan portfolios.,"Insikt Ventures is an investment company. It specializes in growth capital investments. The company enables investors to invest in consumer loan portfolios. Insikt Ventures is headquartered in San Francisco, California."
InStore Finance,instorefinance.com,91073,FinTech,Alternative lending,Consumer lending,Purchase Financing ,Purchase Financing ,Others,Alternative lending-Consumer lending-Purchase Financing ,"finance, saas, software",InStoreFinance.comÂ offers software programs allowing retail stores to increase sales by financing customers via online payment portals.,"InStore Finance is a financing platform that allows merchants to finance their customers' purchases. Merchants who use our program no longer have to lose big ticket sales when a customer doesn't have all the money for the product they've carefully picked out, or as often happens, when their customer doesn't qualify for traditional financing. We manage the paperwork and installments, and all the stores have to do is cash the checks we send them each month. Merchants who work with InStore Finance generate extra sales and now have more loyal customers since they get to tell them ""you're approved!"""
LendPro,mylendpro.com,65552,FinTech,Alternative lending,Consumer lending,Purchase Financing ,Purchase Financing ,Others,Alternative lending-Consumer lending-Purchase Financing ,"consumer, finance, saas",LendPro is a cloud-based SaaS platform enabling consumers toÂ apply for a retail finance program.,"LendPro LLC leverages its founder's years of experience in big-ticket retail and consumer finance to offer an exciting new program for big-ticket merchants, lenders, and consumers. The Open-to-Buy consumer finance application process is a cloud-based, Software-as-a-Service (SaaS) platform that enables consumers to apply for a retail finance program, offered by one of LendPro's many lender partners, anywhere they are, for use at one of LendPro's big-ticket merchant partners."
Vittana,vittana.org,106708,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"education, finance, lending",P2P Education Microfinance Lender,"Vittana makes it possible for young people around the world to get student loans directly from lenders like you.
Vittana envisions a world where students anywhere can get a student loan to attend community college, vocational school or college. This is the #1 thing that families around the world want. If there is one common, universal desire of all people throughout the world, it is to give their children a better chance at life than they had.
When you make a loan on Vittana, you're really doing two things. Yes, you're enabling a student to get a degree and get a job for an immediate, giant step toward a better life. But you're also doing something even bigger: you're proving to the world that education matters and student loans work for one student, one loan, one job at a time. Vittana works in the background to facilitate the loans you make directly to students but also works at the forefront of a global movement to bring student loans to young people throughout the world."
