,index,classifier,accuracy
0,1,k Nearest Neigbour,52.659574468085104
1,2,k Nearest Neigbour,59.04255319148937
2,3,k Nearest Neigbour,55.319148936170215
3,4,k Nearest Neigbour,54.25531914893617
4,5,k Nearest Neigbour,55.319148936170215
5,6,k Nearest Neigbour,50.53191489361703
6,7,k Nearest Neigbour,49.46808510638298
7,8,k Nearest Neigbour,53.191489361702125
8,9,k Nearest Neigbour,55.319148936170215
9,10,k Nearest Neigbour,55.319148936170215
10,11,k Nearest Neigbour,53.191489361702125
11,12,k Nearest Neigbour,53.191489361702125
12,13,k Nearest Neigbour,51.59574468085106
13,14,k Nearest Neigbour,48.40425531914894
14,15,k Nearest Neigbour,52.12765957446809
15,16,k Nearest Neigbour,48.40425531914894
16,17,k Nearest Neigbour,52.659574468085104
17,18,k Nearest Neigbour,48.40425531914894
18,19,k Nearest Neigbour,44.680851063829785
19,20,k Nearest Neigbour,51.59574468085106
20,21,k Nearest Neigbour,54.25531914893617
21,22,k Nearest Neigbour,55.319148936170215
22,23,k Nearest Neigbour,53.72340425531915
23,24,k Nearest Neigbour,52.12765957446809
24,25,k Nearest Neigbour,56.38297872340425
25,26,k Nearest Neigbour,52.12765957446809
26,27,k Nearest Neigbour,52.12765957446809
27,28,k Nearest Neigbour,44.148936170212764
28,29,k Nearest Neigbour,55.319148936170215
29,30,k Nearest Neigbour,47.87234042553192
30,31,k Nearest Neigbour,48.40425531914894
31,32,k Nearest Neigbour,53.72340425531915
32,33,k Nearest Neigbour,46.808510638297875
33,34,k Nearest Neigbour,56.38297872340425
34,35,k Nearest Neigbour,51.06382978723404
35,36,k Nearest Neigbour,46.808510638297875
36,37,k Nearest Neigbour,47.340425531914896
37,38,k Nearest Neigbour,48.40425531914894
38,39,k Nearest Neigbour,44.680851063829785
39,40,k Nearest Neigbour,47.340425531914896
40,41,k Nearest Neigbour,53.191489361702125
41,42,k Nearest Neigbour,54.25531914893617
42,43,k Nearest Neigbour,45.21276595744681
43,44,k Nearest Neigbour,53.191489361702125
44,45,k Nearest Neigbour,54.25531914893617
45,46,k Nearest Neigbour,47.340425531914896
46,47,k Nearest Neigbour,55.319148936170215
47,48,k Nearest Neigbour,46.808510638297875
48,49,k Nearest Neigbour,47.340425531914896
49,50,k Nearest Neigbour,45.21276595744681
50,51,k Nearest Neigbour,53.191489361702125
51,52,k Nearest Neigbour,46.27659574468085
52,53,k Nearest Neigbour,55.85106382978723
53,54,k Nearest Neigbour,53.191489361702125
54,55,k Nearest Neigbour,54.25531914893617
55,56,k Nearest Neigbour,49.46808510638298
56,57,k Nearest Neigbour,46.808510638297875
57,58,k Nearest Neigbour,55.319148936170215
58,59,k Nearest Neigbour,53.191489361702125
59,60,k Nearest Neigbour,57.446808510638306
60,61,k Nearest Neigbour,53.191489361702125
61,62,k Nearest Neigbour,52.659574468085104
62,63,k Nearest Neigbour,55.319148936170215
63,64,k Nearest Neigbour,50.53191489361703
64,65,k Nearest Neigbour,47.340425531914896
65,66,k Nearest Neigbour,54.25531914893617
66,67,k Nearest Neigbour,53.191489361702125
67,68,k Nearest Neigbour,52.12765957446809
68,69,k Nearest Neigbour,53.72340425531915
69,70,k Nearest Neigbour,48.93617021276596
70,71,k Nearest Neigbour,50.53191489361703
71,72,k Nearest Neigbour,53.191489361702125
72,73,k Nearest Neigbour,48.93617021276596
73,74,k Nearest Neigbour,54.25531914893617
74,75,k Nearest Neigbour,53.191489361702125
75,76,k Nearest Neigbour,52.12765957446809
76,77,k Nearest Neigbour,48.93617021276596
77,78,k Nearest Neigbour,48.40425531914894
78,79,k Nearest Neigbour,53.191489361702125
79,80,k Nearest Neigbour,56.38297872340425
80,81,k Nearest Neigbour,53.72340425531915
81,82,k Nearest Neigbour,49.46808510638298
82,83,k Nearest Neigbour,51.59574468085106
83,84,k Nearest Neigbour,55.319148936170215
84,85,k Nearest Neigbour,53.72340425531915
85,86,k Nearest Neigbour,48.93617021276596
86,87,k Nearest Neigbour,49.46808510638298
87,88,k Nearest Neigbour,48.40425531914894
88,89,k Nearest Neigbour,57.446808510638306
89,90,k Nearest Neigbour,50.53191489361703
90,91,k Nearest Neigbour,46.808510638297875
91,92,k Nearest Neigbour,51.06382978723404
92,93,k Nearest Neigbour,52.659574468085104
93,94,k Nearest Neigbour,55.319148936170215
94,95,k Nearest Neigbour,52.12765957446809
95,96,k Nearest Neigbour,53.191489361702125
96,97,k Nearest Neigbour,50.0
97,98,k Nearest Neigbour,51.06382978723404
98,99,k Nearest Neigbour,46.27659574468085
99,100,k Nearest Neigbour,50.53191489361703
100,101,k Nearest Neigbour,51.59574468085106
101,102,k Nearest Neigbour,52.659574468085104
102,103,k Nearest Neigbour,51.59574468085106
103,104,k Nearest Neigbour,55.85106382978723
104,105,k Nearest Neigbour,46.27659574468085
105,106,k Nearest Neigbour,52.659574468085104
106,107,k Nearest Neigbour,57.446808510638306
107,108,k Nearest Neigbour,53.191489361702125
108,109,k Nearest Neigbour,52.659574468085104
109,110,k Nearest Neigbour,52.659574468085104
110,111,k Nearest Neigbour,48.93617021276596
111,112,k Nearest Neigbour,53.191489361702125
112,113,k Nearest Neigbour,48.40425531914894
113,114,k Nearest Neigbour,53.72340425531915
114,115,k Nearest Neigbour,51.59574468085106
115,116,k Nearest Neigbour,54.25531914893617
116,117,k Nearest Neigbour,50.53191489361703
117,118,k Nearest Neigbour,51.59574468085106
118,119,k Nearest Neigbour,48.93617021276596
119,120,k Nearest Neigbour,53.191489361702125
120,121,k Nearest Neigbour,55.85106382978723
121,122,k Nearest Neigbour,52.659574468085104
122,123,k Nearest Neigbour,54.25531914893617
123,124,k Nearest Neigbour,51.59574468085106
124,125,k Nearest Neigbour,54.78723404255319
125,126,k Nearest Neigbour,53.72340425531915
126,127,k Nearest Neigbour,52.12765957446809
127,128,k Nearest Neigbour,53.191489361702125
128,129,k Nearest Neigbour,52.659574468085104
129,130,k Nearest Neigbour,46.27659574468085
130,131,k Nearest Neigbour,48.93617021276596
131,132,k Nearest Neigbour,50.0
132,133,k Nearest Neigbour,53.191489361702125
133,134,k Nearest Neigbour,52.659574468085104
134,135,k Nearest Neigbour,53.191489361702125
135,136,k Nearest Neigbour,53.72340425531915
136,137,k Nearest Neigbour,47.340425531914896
137,138,k Nearest Neigbour,48.93617021276596
