,index,classifier,accuracy
0,1,Multinomail NB,61.170212765957444
1,2,Multinomail NB,56.91489361702128
2,3,Multinomail NB,55.319148936170215
3,4,Multinomail NB,57.446808510638306
4,5,Multinomail NB,59.04255319148937
5,6,Multinomail NB,56.38297872340425
6,7,Multinomail NB,59.04255319148937
7,8,Multinomail NB,60.63829787234043
8,9,Multinomail NB,57.97872340425532
9,10,Multinomail NB,57.446808510638306
10,11,Multinomail NB,56.38297872340425
11,12,Multinomail NB,56.91489361702128
12,13,Multinomail NB,60.1063829787234
13,14,Multinomail NB,57.97872340425532
14,15,Multinomail NB,55.85106382978723
15,16,Multinomail NB,55.85106382978723
16,17,Multinomail NB,57.97872340425532
17,18,Multinomail NB,54.78723404255319
18,19,Multinomail NB,55.319148936170215
19,20,Multinomail NB,54.78723404255319
20,21,Multinomail NB,54.78723404255319
21,22,Multinomail NB,56.38297872340425
22,23,Multinomail NB,57.97872340425532
23,24,Multinomail NB,59.57446808510638
24,25,Multinomail NB,57.97872340425532
25,26,Multinomail NB,55.319148936170215
26,27,Multinomail NB,57.97872340425532
27,28,Multinomail NB,57.97872340425532
28,29,Multinomail NB,54.78723404255319
29,30,Multinomail NB,58.51063829787234
30,31,Multinomail NB,56.38297872340425
31,32,Multinomail NB,55.319148936170215
32,33,Multinomail NB,56.91489361702128
33,34,Multinomail NB,55.85106382978723
34,35,Multinomail NB,59.57446808510638
35,36,Multinomail NB,54.78723404255319
36,37,Multinomail NB,56.38297872340425
37,38,Multinomail NB,59.04255319148937
38,39,Multinomail NB,59.57446808510638
39,40,Multinomail NB,56.91489361702128
40,41,Multinomail NB,58.51063829787234
41,42,Multinomail NB,56.38297872340425
42,43,Multinomail NB,61.170212765957444
43,44,Multinomail NB,56.91489361702128
44,45,Multinomail NB,59.04255319148937
45,46,Multinomail NB,58.51063829787234
46,47,Multinomail NB,55.319148936170215
47,48,Multinomail NB,53.72340425531915
48,49,Multinomail NB,57.446808510638306
49,50,Multinomail NB,53.72340425531915
50,51,Multinomail NB,57.97872340425532
51,52,Multinomail NB,56.91489361702128
52,53,Multinomail NB,57.446808510638306
53,54,Multinomail NB,57.97872340425532
54,55,Multinomail NB,57.446808510638306
55,56,Multinomail NB,58.51063829787234
56,57,Multinomail NB,55.85106382978723
57,58,Multinomail NB,54.78723404255319
58,59,Multinomail NB,57.446808510638306
59,60,Multinomail NB,59.04255319148937
60,61,Multinomail NB,55.85106382978723
61,62,Multinomail NB,55.319148936170215
62,63,Multinomail NB,60.63829787234043
63,64,Multinomail NB,55.319148936170215
64,65,Multinomail NB,57.97872340425532
65,66,Multinomail NB,56.91489361702128
66,67,Multinomail NB,58.51063829787234
67,68,Multinomail NB,54.78723404255319
68,69,Multinomail NB,54.25531914893617
69,70,Multinomail NB,56.38297872340425
70,71,Multinomail NB,55.319148936170215
71,72,Multinomail NB,57.97872340425532
72,73,Multinomail NB,56.91489361702128
73,74,Multinomail NB,57.97872340425532
74,75,Multinomail NB,55.319148936170215
75,76,Multinomail NB,59.04255319148937
76,77,Multinomail NB,56.38297872340425
77,78,Multinomail NB,59.57446808510638
78,79,Multinomail NB,56.91489361702128
79,80,Multinomail NB,58.51063829787234
80,81,Multinomail NB,56.38297872340425
81,82,Multinomail NB,59.04255319148937
82,83,Multinomail NB,56.91489361702128
83,84,Multinomail NB,56.91489361702128
84,85,Multinomail NB,56.91489361702128
85,86,Multinomail NB,59.57446808510638
86,87,Multinomail NB,56.91489361702128
87,88,Multinomail NB,60.1063829787234
88,89,Multinomail NB,57.446808510638306
89,90,Multinomail NB,54.78723404255319
90,91,Multinomail NB,53.72340425531915
91,92,Multinomail NB,57.446808510638306
92,93,Multinomail NB,57.446808510638306
93,94,Multinomail NB,56.38297872340425
94,95,Multinomail NB,57.446808510638306
95,96,Multinomail NB,57.446808510638306
96,97,Multinomail NB,57.97872340425532
97,98,Multinomail NB,55.85106382978723
98,99,Multinomail NB,55.85106382978723
99,100,Multinomail NB,59.04255319148937
100,101,Multinomail NB,54.78723404255319
101,102,Multinomail NB,57.97872340425532
102,103,Multinomail NB,57.446808510638306
103,104,Multinomail NB,60.63829787234043
104,105,Multinomail NB,58.51063829787234
105,106,Multinomail NB,56.38297872340425
106,107,Multinomail NB,57.97872340425532
107,108,Multinomail NB,55.319148936170215
108,109,Multinomail NB,57.446808510638306
109,110,Multinomail NB,57.446808510638306
110,111,Multinomail NB,55.319148936170215
111,112,Multinomail NB,55.85106382978723
112,113,Multinomail NB,56.38297872340425
113,114,Multinomail NB,59.04255319148937
114,115,Multinomail NB,55.319148936170215
115,116,Multinomail NB,55.85106382978723
116,117,Multinomail NB,54.78723404255319
117,118,Multinomail NB,59.57446808510638
118,119,Multinomail NB,55.85106382978723
119,120,Multinomail NB,57.97872340425532
120,121,Multinomail NB,57.446808510638306
121,122,Multinomail NB,55.85106382978723
122,123,Multinomail NB,60.63829787234043
123,124,Multinomail NB,59.04255319148937
124,125,Multinomail NB,56.91489361702128
125,126,Multinomail NB,55.85106382978723
126,127,Multinomail NB,56.38297872340425
127,128,Multinomail NB,57.97872340425532
128,129,Multinomail NB,61.170212765957444
129,130,Multinomail NB,57.446808510638306
130,131,Multinomail NB,57.97872340425532
131,132,Multinomail NB,58.51063829787234
132,133,Multinomail NB,55.85106382978723
133,134,Multinomail NB,59.57446808510638
134,135,Multinomail NB,54.78723404255319
135,136,Multinomail NB,59.57446808510638
136,137,Multinomail NB,59.04255319148937
137,138,Multinomail NB,58.51063829787234
138,139,Multinomail NB,57.446808510638306
139,140,Multinomail NB,59.57446808510638
140,141,Multinomail NB,60.63829787234043
141,142,Multinomail NB,61.702127659574465
142,143,Multinomail NB,57.446808510638306
143,144,Multinomail NB,56.38297872340425
144,145,Multinomail NB,54.78723404255319
145,146,Multinomail NB,55.319148936170215
146,147,Multinomail NB,55.319148936170215
147,148,Multinomail NB,56.38297872340425
148,149,Multinomail NB,59.04255319148937
149,150,Multinomail NB,57.446808510638306
150,151,Multinomail NB,57.446808510638306
151,152,Multinomail NB,56.38297872340425
152,153,Multinomail NB,58.51063829787234
153,154,Multinomail NB,55.319148936170215
154,155,Multinomail NB,55.319148936170215
155,156,Multinomail NB,60.1063829787234
156,157,Multinomail NB,56.38297872340425
157,158,Multinomail NB,55.319148936170215
158,159,Multinomail NB,53.72340425531915
159,160,Multinomail NB,60.1063829787234
