,index,classifier,accuracy
0,1,Decision Tree,84.375
1,2,Decision Tree,84.375
2,3,Decision Tree,62.5
3,4,Decision Tree,68.75
4,5,Decision Tree,71.875
5,6,Decision Tree,71.875
6,7,Decision Tree,87.5
7,8,Decision Tree,93.75
8,9,Decision Tree,81.25
9,10,Decision Tree,75.0
10,11,Decision Tree,62.5
11,12,Decision Tree,78.125
12,13,Decision Tree,56.25
13,14,Decision Tree,84.375
14,15,Decision Tree,84.375
15,16,Decision Tree,81.25
16,17,Decision Tree,75.0
17,18,Decision Tree,78.125
18,19,Decision Tree,75.0
19,20,Decision Tree,87.5
20,21,Decision Tree,84.375
21,22,Decision Tree,81.25
22,23,Decision Tree,75.0
23,24,Decision Tree,87.5
24,25,Decision Tree,84.375
25,26,Decision Tree,84.375
26,27,Decision Tree,78.125
27,28,Decision Tree,71.875
28,29,Decision Tree,81.25
29,30,Decision Tree,78.125
30,31,Decision Tree,90.625
31,32,Decision Tree,68.75
32,33,Decision Tree,84.375
33,34,Decision Tree,84.375
34,35,Decision Tree,75.0
35,36,Decision Tree,78.125
36,37,Decision Tree,78.125
37,38,Decision Tree,93.75
38,39,Decision Tree,75.0
39,40,Decision Tree,78.125
40,41,Decision Tree,78.125
41,42,Decision Tree,90.625
42,43,Decision Tree,90.625
43,44,Decision Tree,65.625
44,45,Decision Tree,78.125
45,46,Decision Tree,87.5
46,47,Decision Tree,81.25
47,48,Decision Tree,87.5
48,49,Decision Tree,78.125
49,50,Decision Tree,81.25
50,51,Decision Tree,84.375
51,52,Decision Tree,90.625
52,53,Decision Tree,90.625
53,54,Decision Tree,62.5
54,55,Decision Tree,78.125
55,56,Decision Tree,65.625
56,57,Decision Tree,75.0
57,58,Decision Tree,78.125
58,59,Decision Tree,81.25
59,60,Decision Tree,87.5
60,61,Decision Tree,78.125
61,62,Decision Tree,78.125
62,63,Decision Tree,84.375
63,64,Decision Tree,81.25
64,65,Decision Tree,81.25
65,66,Decision Tree,81.25
66,67,Decision Tree,81.25
67,68,Decision Tree,78.125
68,69,Decision Tree,90.625
69,70,Decision Tree,87.5
70,71,Decision Tree,90.625
71,72,Decision Tree,84.375
72,73,Decision Tree,78.125
73,74,Decision Tree,78.125
74,75,Decision Tree,84.375
75,76,Decision Tree,75.0
76,77,Decision Tree,71.875
77,78,Decision Tree,90.625
78,79,Decision Tree,81.25
79,80,Decision Tree,78.125
80,81,Decision Tree,87.5
81,82,Decision Tree,68.75
82,83,Decision Tree,65.625
83,84,Decision Tree,84.375
84,85,Decision Tree,71.875
85,86,Decision Tree,71.875
86,87,Decision Tree,87.5
87,88,Decision Tree,84.375
88,89,Decision Tree,81.25
89,90,Decision Tree,87.5
90,91,Decision Tree,90.625
91,92,Decision Tree,71.875
92,93,Decision Tree,87.5
93,94,Decision Tree,78.125
94,95,Decision Tree,81.25
95,96,Decision Tree,81.25
96,97,Decision Tree,84.375
97,98,Decision Tree,81.25
98,99,Decision Tree,81.25
99,100,Decision Tree,75.0
100,101,Decision Tree,81.25
101,102,Decision Tree,78.125
102,103,Decision Tree,81.25
103,104,Decision Tree,84.375
104,105,Decision Tree,84.375
105,106,Decision Tree,84.375
106,107,Decision Tree,84.375
107,108,Decision Tree,75.0
108,109,Decision Tree,62.5
109,110,Decision Tree,75.0
110,111,Decision Tree,84.375
111,112,Decision Tree,81.25
112,113,Decision Tree,84.375
113,114,Decision Tree,84.375
114,115,Decision Tree,81.25
115,116,Decision Tree,75.0
116,117,Decision Tree,78.125
117,118,Decision Tree,75.0
118,119,Decision Tree,87.5
119,120,Decision Tree,84.375
120,121,Decision Tree,78.125
121,122,Decision Tree,75.0
122,123,Decision Tree,78.125
123,124,Decision Tree,84.375
124,125,Decision Tree,78.125
125,126,Decision Tree,71.875
126,127,Decision Tree,81.25
127,128,Decision Tree,87.5
128,129,Decision Tree,78.125
129,130,Decision Tree,90.625
130,131,Decision Tree,71.875
131,132,Decision Tree,75.0
132,133,Decision Tree,90.625
133,134,Decision Tree,75.0
134,135,Decision Tree,90.625
135,136,Decision Tree,81.25
136,137,Decision Tree,84.375
137,138,Decision Tree,78.125
138,139,Decision Tree,84.375
139,140,Decision Tree,68.75
140,141,Decision Tree,75.0
141,142,Decision Tree,75.0
142,143,Decision Tree,81.25
143,144,Decision Tree,59.375
144,145,Decision Tree,87.5
145,146,Decision Tree,90.625
146,147,Decision Tree,87.5
147,148,Decision Tree,68.75
148,149,Decision Tree,75.0
149,150,Decision Tree,71.875
150,151,Decision Tree,78.125
151,152,Decision Tree,75.0
152,153,Decision Tree,81.25
153,154,Decision Tree,78.125
154,155,Decision Tree,81.25
155,156,Decision Tree,93.75
156,157,Decision Tree,93.75
157,158,Decision Tree,81.25
158,159,Decision Tree,81.25
159,160,Decision Tree,81.25
160,161,Decision Tree,84.375
161,162,Decision Tree,87.5
162,163,Decision Tree,81.25
163,164,Decision Tree,71.875
164,165,Decision Tree,78.125
165,166,Decision Tree,87.5
166,167,Decision Tree,81.25
167,168,Decision Tree,93.75
168,169,Decision Tree,75.0
169,170,Decision Tree,84.375
170,171,Decision Tree,93.75
171,172,Decision Tree,90.625
172,173,Decision Tree,78.125
173,174,Decision Tree,75.0
174,175,Decision Tree,90.625
175,176,Decision Tree,62.5
176,177,Decision Tree,93.75
177,178,Decision Tree,81.25
178,179,Decision Tree,87.5
179,180,Decision Tree,78.125
180,181,Decision Tree,65.625
181,182,Decision Tree,90.625
182,183,Decision Tree,84.375
183,184,Decision Tree,78.125
184,185,Decision Tree,93.75
185,186,Decision Tree,84.375
186,187,Decision Tree,75.0
187,188,Decision Tree,90.625
188,189,Decision Tree,65.625
189,190,Decision Tree,81.25
190,191,Decision Tree,87.5
191,192,Decision Tree,96.875
192,193,Decision Tree,81.25
193,194,Decision Tree,75.0
194,195,Decision Tree,90.625
195,196,Decision Tree,81.25
196,197,Decision Tree,90.625
197,198,Decision Tree,87.5
198,199,Decision Tree,87.5
199,200,Decision Tree,84.375
