,index,classifier,accuracy
0,1,k Nearest Neigbour,78.125
1,2,k Nearest Neigbour,81.25
2,3,k Nearest Neigbour,84.375
3,4,k Nearest Neigbour,75.0
4,5,k Nearest Neigbour,87.5
5,6,k Nearest Neigbour,93.75
6,7,k Nearest Neigbour,71.875
7,8,k Nearest Neigbour,81.25
8,9,k Nearest Neigbour,75.0
9,10,k Nearest Neigbour,78.125
10,11,k Nearest Neigbour,96.875
11,12,k Nearest Neigbour,90.625
12,13,k Nearest Neigbour,90.625
13,14,k Nearest Neigbour,78.125
14,15,k Nearest Neigbour,81.25
15,16,k Nearest Neigbour,84.375
16,17,k Nearest Neigbour,84.375
17,18,k Nearest Neigbour,81.25
18,19,k Nearest Neigbour,75.0
19,20,k Nearest Neigbour,90.625
20,21,k Nearest Neigbour,90.625
21,22,k Nearest Neigbour,84.375
22,23,k Nearest Neigbour,84.375
23,24,k Nearest Neigbour,87.5
24,25,k Nearest Neigbour,87.5
25,26,k Nearest Neigbour,90.625
26,27,k Nearest Neigbour,84.375
27,28,k Nearest Neigbour,78.125
28,29,k Nearest Neigbour,78.125
29,30,k Nearest Neigbour,78.125
30,31,k Nearest Neigbour,84.375
31,32,k Nearest Neigbour,90.625
32,33,k Nearest Neigbour,81.25
33,34,k Nearest Neigbour,90.625
34,35,k Nearest Neigbour,81.25
35,36,k Nearest Neigbour,84.375
36,37,k Nearest Neigbour,100.0
37,38,k Nearest Neigbour,78.125
38,39,k Nearest Neigbour,71.875
39,40,k Nearest Neigbour,78.125
40,41,k Nearest Neigbour,90.625
41,42,k Nearest Neigbour,78.125
42,43,k Nearest Neigbour,78.125
43,44,k Nearest Neigbour,78.125
44,45,k Nearest Neigbour,100.0
45,46,k Nearest Neigbour,87.5
46,47,k Nearest Neigbour,87.5
47,48,k Nearest Neigbour,87.5
48,49,k Nearest Neigbour,90.625
49,50,k Nearest Neigbour,84.375
50,51,k Nearest Neigbour,81.25
51,52,k Nearest Neigbour,81.25
52,53,k Nearest Neigbour,93.75
53,54,k Nearest Neigbour,78.125
54,55,k Nearest Neigbour,81.25
55,56,k Nearest Neigbour,71.875
56,57,k Nearest Neigbour,87.5
57,58,k Nearest Neigbour,78.125
58,59,k Nearest Neigbour,78.125
59,60,k Nearest Neigbour,84.375
60,61,k Nearest Neigbour,84.375
61,62,k Nearest Neigbour,81.25
62,63,k Nearest Neigbour,75.0
63,64,k Nearest Neigbour,93.75
64,65,k Nearest Neigbour,87.5
65,66,k Nearest Neigbour,78.125
66,67,k Nearest Neigbour,87.5
67,68,k Nearest Neigbour,84.375
68,69,k Nearest Neigbour,90.625
69,70,k Nearest Neigbour,78.125
70,71,k Nearest Neigbour,87.5
71,72,k Nearest Neigbour,71.875
72,73,k Nearest Neigbour,84.375
73,74,k Nearest Neigbour,78.125
74,75,k Nearest Neigbour,71.875
75,76,k Nearest Neigbour,68.75
76,77,k Nearest Neigbour,90.625
77,78,k Nearest Neigbour,81.25
78,79,k Nearest Neigbour,90.625
79,80,k Nearest Neigbour,71.875
80,81,k Nearest Neigbour,75.0
81,82,k Nearest Neigbour,84.375
82,83,k Nearest Neigbour,90.625
83,84,k Nearest Neigbour,84.375
84,85,k Nearest Neigbour,84.375
85,86,k Nearest Neigbour,81.25
86,87,k Nearest Neigbour,78.125
87,88,k Nearest Neigbour,78.125
88,89,k Nearest Neigbour,75.0
89,90,k Nearest Neigbour,90.625
90,91,k Nearest Neigbour,93.75
91,92,k Nearest Neigbour,78.125
92,93,k Nearest Neigbour,75.0
93,94,k Nearest Neigbour,81.25
94,95,k Nearest Neigbour,90.625
95,96,k Nearest Neigbour,84.375
96,97,k Nearest Neigbour,96.875
97,98,k Nearest Neigbour,81.25
98,99,k Nearest Neigbour,87.5
99,100,k Nearest Neigbour,84.375
100,101,k Nearest Neigbour,87.5
101,102,k Nearest Neigbour,81.25
102,103,k Nearest Neigbour,81.25
103,104,k Nearest Neigbour,87.5
104,105,k Nearest Neigbour,90.625
105,106,k Nearest Neigbour,84.375
106,107,k Nearest Neigbour,81.25
107,108,k Nearest Neigbour,84.375
108,109,k Nearest Neigbour,87.5
109,110,k Nearest Neigbour,87.5
110,111,k Nearest Neigbour,81.25
111,112,k Nearest Neigbour,81.25
112,113,k Nearest Neigbour,75.0
113,114,k Nearest Neigbour,78.125
114,115,k Nearest Neigbour,81.25
115,116,k Nearest Neigbour,81.25
116,117,k Nearest Neigbour,84.375
117,118,k Nearest Neigbour,84.375
118,119,k Nearest Neigbour,84.375
119,120,k Nearest Neigbour,87.5
120,121,k Nearest Neigbour,90.625
121,122,k Nearest Neigbour,81.25
122,123,k Nearest Neigbour,90.625
123,124,k Nearest Neigbour,81.25
124,125,k Nearest Neigbour,87.5
125,126,k Nearest Neigbour,90.625
126,127,k Nearest Neigbour,81.25
127,128,k Nearest Neigbour,81.25
128,129,k Nearest Neigbour,90.625
129,130,k Nearest Neigbour,90.625
130,131,k Nearest Neigbour,84.375
131,132,k Nearest Neigbour,78.125
132,133,k Nearest Neigbour,87.5
133,134,k Nearest Neigbour,84.375
134,135,k Nearest Neigbour,78.125
135,136,k Nearest Neigbour,81.25
136,137,k Nearest Neigbour,78.125
137,138,k Nearest Neigbour,84.375
138,139,k Nearest Neigbour,93.75
139,140,k Nearest Neigbour,81.25
140,141,k Nearest Neigbour,87.5
141,142,k Nearest Neigbour,81.25
142,143,k Nearest Neigbour,78.125
143,144,k Nearest Neigbour,81.25
144,145,k Nearest Neigbour,81.25
145,146,k Nearest Neigbour,84.375
146,147,k Nearest Neigbour,87.5
147,148,k Nearest Neigbour,90.625
148,149,k Nearest Neigbour,71.875
149,150,k Nearest Neigbour,81.25
150,151,k Nearest Neigbour,87.5
151,152,k Nearest Neigbour,84.375
152,153,k Nearest Neigbour,84.375
153,154,k Nearest Neigbour,93.75
154,155,k Nearest Neigbour,84.375
155,156,k Nearest Neigbour,84.375
156,157,k Nearest Neigbour,78.125
157,158,k Nearest Neigbour,84.375
158,159,k Nearest Neigbour,87.5
159,160,k Nearest Neigbour,93.75
160,161,k Nearest Neigbour,81.25
161,162,k Nearest Neigbour,78.125
162,163,k Nearest Neigbour,81.25
163,164,k Nearest Neigbour,84.375
164,165,k Nearest Neigbour,90.625
165,166,k Nearest Neigbour,87.5
166,167,k Nearest Neigbour,90.625
167,168,k Nearest Neigbour,78.125
168,169,k Nearest Neigbour,87.5
169,170,k Nearest Neigbour,81.25
170,171,k Nearest Neigbour,75.0
171,172,k Nearest Neigbour,90.625
172,173,k Nearest Neigbour,84.375
173,174,k Nearest Neigbour,78.125
174,175,k Nearest Neigbour,68.75
175,176,k Nearest Neigbour,84.375
176,177,k Nearest Neigbour,81.25
177,178,k Nearest Neigbour,84.375
178,179,k Nearest Neigbour,87.5
179,180,k Nearest Neigbour,84.375
180,181,k Nearest Neigbour,81.25
181,182,k Nearest Neigbour,87.5
182,183,k Nearest Neigbour,78.125
183,184,k Nearest Neigbour,78.125
184,185,k Nearest Neigbour,78.125
185,186,k Nearest Neigbour,84.375
186,187,k Nearest Neigbour,68.75
187,188,k Nearest Neigbour,87.5
188,189,k Nearest Neigbour,87.5
189,190,k Nearest Neigbour,81.25
190,191,k Nearest Neigbour,84.375
191,192,k Nearest Neigbour,68.75
192,193,k Nearest Neigbour,93.75
193,194,k Nearest Neigbour,81.25
194,195,k Nearest Neigbour,84.375
195,196,k Nearest Neigbour,81.25
