,index,classifier,accuracy
0,1,Multinomail NB,90.625
1,2,Multinomail NB,84.375
2,3,Multinomail NB,81.25
3,4,Multinomail NB,93.75
4,5,Multinomail NB,90.625
5,6,Multinomail NB,87.5
6,7,Multinomail NB,84.375
7,8,Multinomail NB,81.25
8,9,Multinomail NB,90.625
9,10,Multinomail NB,87.5
10,11,Multinomail NB,84.375
11,12,Multinomail NB,81.25
12,13,Multinomail NB,81.25
13,14,Multinomail NB,93.75
14,15,Multinomail NB,90.625
15,16,Multinomail NB,78.125
16,17,Multinomail NB,84.375
17,18,Multinomail NB,78.125
18,19,Multinomail NB,87.5
19,20,Multinomail NB,84.375
20,21,Multinomail NB,93.75
21,22,Multinomail NB,84.375
22,23,Multinomail NB,78.125
23,24,Multinomail NB,87.5
24,25,Multinomail NB,84.375
25,26,Multinomail NB,84.375
26,27,Multinomail NB,87.5
27,28,Multinomail NB,84.375
28,29,Multinomail NB,84.375
29,30,Multinomail NB,81.25
30,31,Multinomail NB,87.5
31,32,Multinomail NB,84.375
32,33,Multinomail NB,84.375
33,34,Multinomail NB,84.375
34,35,Multinomail NB,84.375
35,36,Multinomail NB,87.5
36,37,Multinomail NB,87.5
37,38,Multinomail NB,93.75
38,39,Multinomail NB,96.875
39,40,Multinomail NB,84.375
40,41,Multinomail NB,84.375
41,42,Multinomail NB,84.375
42,43,Multinomail NB,84.375
43,44,Multinomail NB,84.375
44,45,Multinomail NB,87.5
45,46,Multinomail NB,96.875
46,47,Multinomail NB,90.625
47,48,Multinomail NB,93.75
48,49,Multinomail NB,90.625
49,50,Multinomail NB,81.25
50,51,Multinomail NB,87.5
51,52,Multinomail NB,90.625
52,53,Multinomail NB,81.25
53,54,Multinomail NB,78.125
54,55,Multinomail NB,81.25
55,56,Multinomail NB,93.75
56,57,Multinomail NB,81.25
57,58,Multinomail NB,90.625
58,59,Multinomail NB,90.625
59,60,Multinomail NB,84.375
60,61,Multinomail NB,81.25
61,62,Multinomail NB,90.625
62,63,Multinomail NB,90.625
63,64,Multinomail NB,84.375
64,65,Multinomail NB,84.375
65,66,Multinomail NB,90.625
66,67,Multinomail NB,81.25
67,68,Multinomail NB,84.375
68,69,Multinomail NB,84.375
69,70,Multinomail NB,87.5
70,71,Multinomail NB,87.5
71,72,Multinomail NB,84.375
72,73,Multinomail NB,81.25
73,74,Multinomail NB,84.375
74,75,Multinomail NB,84.375
75,76,Multinomail NB,81.25
76,77,Multinomail NB,93.75
77,78,Multinomail NB,81.25
78,79,Multinomail NB,81.25
79,80,Multinomail NB,93.75
80,81,Multinomail NB,81.25
81,82,Multinomail NB,87.5
82,83,Multinomail NB,84.375
83,84,Multinomail NB,87.5
84,85,Multinomail NB,87.5
