company_name,domain_name,id,horizontal,technology_segment1,technology_segment2,technology_segment3,ml_segment_data1_ap4_t1,ml_segment_data2_ap4_t1,final_level_category,business_model,specialties,short_description,about_us
LiveCapital,livecapital.com,93180,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, online auctions, small and medium businesses",LiveCapital provides online small business financing.,"LiveCapital offers online businesses financing services. It offers its users with services such as DecisionExpress product that creates economic benefits through automating credit or lease decision processes and integrates workflows. Its technology and consulting solutions enables enterprises to make credit decisions, improves productivity, and achieves sales by providing credit to customers.
LiveCapital is a U.S.-based company that was founded in 1996 and the company was acquired by Dun & Bradstreet Credibility Corporation on July 27, 2005."
Lendinero,lendinero.com,39691,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, fintech",Lendinero is a company providing short term alternative-funding to small and medium sized existing businesses.,"Lendinero is a venture capital firm that provides short-term funding solutions to SMEs.
Its ancillary services assists its clients with viewing and managing their accounts through the cloud. In addition, the firm offers a range of financial solutions for SMEs, including Lendireno loans, merchant cash advance loans, and SBA loans. In addition, the firm also carries out advisory services to assist its clients in obtaining finance.
Lendinero was founded in 2011 by Gil Zapata and is based in Florida."
LendFriend,lendfriend.com,39689,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,payments,"LendFriend offers software products that provide support for users during the loanâ€™s creation, proposal, approval and repayment.","LendFriend is a FinTech startup focused on undeserved lending markets.
The team has built 3 products:
- Online p2p lending platform targeting friends and family. Grew to $3MM+ loans.
- Multiple underwriting models utilizing proprietary data from traditional brick and mortar high-interest lenders. The identified customer profiles are targeted for larger loans with lower interest rates because their loan repayment is disproportional to their credit score.
- Online platform that matches high-risk borrowers with an aggregated network of online lenders and places these loans on prepaid cards. Product's purpose is to bank the underbanked.
LendFriend was part of **[AngelPad](http://angelpad.org) #3** in 2011."
ProMED Healthcare Financing,promedhcf.com,99222,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,finance,ProMED Healthcare Financing is an alternative investment company specializing in medical practices and healthcare businesses.,"ProMED Healthcare Financing (formerly ProMAC) was founded in 2007 and is headquartered in Hauppauge, NY. ProMED Healthcare Financing is the first financing company that can fund against all types of electronic payments proceeds such as ACH, EFT, Credit Card Receipts, e-Check Processing, Recurring Debit, ARC, and Back Office Conversions."
Yattos,yattos.com,76840,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,finance,Yattos is a social funding platform that enables users to organize social funding circles using their Facebook accounts.,"Yattos is a new social funding platform based on the trust and reputation of your social inner circle.
Yattos lets you organize social funding circles (a.k.a. Yatto) using your Facebook account so you can invite your trusted friends, family, peers and dear ones.
Every participant in the Yatto will receive the social fund of the group in a different date to make his/her dream come true or fulfill personal causes such as family urgencies, education costs, healthcare, travel, computer for your kids, endeavor a worldwide cause, etc."
Endurance Lending Network,enduranceln.com,35510,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"crowdfunding, finance, fintech",Endurance Lending Network is a web-based lender for small and medium businesses in the United States.,"Endurance Lending Network is a web-based lender focused on small and medium businesses in the United States. We provide loans of between $25,000 and $500,000 to high-quality entrepreneurs looking for expansion capital, equipment purchases or more general needs."
Contigo Financial,contigofinancial.com,54615,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit, finance",Contigo Financial facilitates a web-based platform that provides employees with financial products such as short-term loans.,"Contigo is disrupting the subprime lending industry by offering innovative financial products to those with the least access to them, partnering with employers to provide socially-responsible short-term, low-cost loans offered as a benefit to employees who lack strong credit histories. Credit is extended to employees through a robust web-based platform and proprietary underwriting model. Contigo is a graduate of the Jumpstart Foundry accelerator program and a winner of Vanderbilt University's Sohr Grant for startups."
Community Sourced Capital,communitysourcedcapital.com,33969,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"crowdfunding, fintech",Community Sourced Capital build innovative financial systems for communities.,"They started Community Sourced Capital after a year of researching what they call sustainable finance. They were focused on a single question: what if financial systems were designed to strengthen communities?
Their company has grown from an idea to a robust community lending system. They've expanding outside the Pacific Northwest, attracting investors who want to help their business grow, and recruiting talented team members with diverse backgrounds. Theyâ€™re an energetic and passionate group of do-it-all personalities with backgrounds in small business management, socially-responsible investing, web technology, grassroots marketing and fundraising.
On a weekly basis, youâ€™ll find us engaged directly with small business owners, hanging out with innovative banking partners, and scouting new communities where they might one day be lucky enough to work."
PearFunds,pearfunds.com,67492,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"crowdfunding, lending, marketplace",An experienced team with a proven platform addressing the needs of the crowdfunding marketplace in South America.,"An experienced team with a proven platform addressing the needs of the crowdfunding marketplace in South America. With a megatrend opportunity, this is a team to bet on."
SmartBiz Loans,smartbizloans.com,112922,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"e-commerce, financial services, lending",SmartBiz Loans (www.smartbizloans.com) is a unique combination of an online SBA loan marketplace and a bank enabling technology platform.,"SmartBiz Loans is the #1 online SBA loan marketplace for small business loans. The intelligent technology platform makes applying for an SBA loan fast and easy while increasing the likelihood of approval for small businesses by matching the borrower with the SBA preferred lending bank most likely to fund their particular business. 90% to 95% of the loans SmartBiz refers to its bank partners get funded. Bank partners using the SmartBiz platform to originate and underwriter SBA loans in a compliant manner can also process these loans 70% to 90% more efficiently then before.
Based in the financial district of San Francisco, SmartBiz Loans is privately held. The company was founded in 2009 by a team of experienced financial services entrepreneurs with backing from leading venture capital firms including Investor Growth Capital, Venrock, First Round Capital, Baseline Ventures, and SoftTech VC."
iPawn,ipawn.com,61614,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"e-commerce, finance, small and medium businesses",iPawn is an e-commerce company that enables consumers to obtain short-term asset-based loans.,"iPawn is transforming the national credit market by offering short-term, affordable loans at competitive rates and with less risk than banks, payday lenders, brick & mortar pawn shops and other online services. 
Headquartered in Tyler, Texas, iPawn holds a Pawn license issued by the Office of Consumer Credit Commissioner.  For more information, please visit www.iPawn.com."
World Business Lenders,wbl.com,76069,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, financial services, small and medium businesses","World Business Lenders provides capital to small businesses through credit cards, checks and cash payments.","World Business Lenders LLC provides capital to small businesses. The company offers loan products for businesses that accept limited forms of payment, as well as loans designed for businesses that accept credit card, check, and cash payments. Its clients include retail businesses, which regularly deposit the cash revenue; businesses that are in operations over two years; and franchisees, coffees, shops, dry cleaners, doctors, and dentists. World Business Lenders LLC was incorporated in 2011 and is based in New York, New York."
Raiseworks,raiseworks.com,43774,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"credit, crowdfunding, crowdsourcing, finance, financial services, fintech",Raiseworks operates an online direct lending platform that connects small private businesses with institutional lenders.,"Raiseworks operates an online direct lending platform that connects small businesses with institutional lenders looking to lend directly to private businesses. We improve small business access to capital by leveraging technology to lower the cost of customer acquisition and loan application processing resulting in a dramatic acceleration of the application-to-funding cycle. For institutional lenders, Raiseworks opens the door to opportunities to invest directly in credit-worthy private businesses while earning stable, attractive returns."
