,index,classifier,accuracy
0,1,Decision Tree,36.486486486486484
1,2,Decision Tree,39.189189189189186
2,3,Decision Tree,36.486486486486484
3,4,Decision Tree,39.189189189189186
4,5,Decision Tree,40.54054054054054
5,6,Decision Tree,37.83783783783784
6,7,Decision Tree,43.24324324324324
7,8,Decision Tree,44.5945945945946
8,9,Decision Tree,39.189189189189186
9,10,Decision Tree,43.24324324324324
10,11,Decision Tree,31.08108108108108
11,12,Decision Tree,39.189189189189186
12,13,Decision Tree,31.08108108108108
13,14,Decision Tree,35.13513513513514
14,15,Decision Tree,39.189189189189186
15,16,Decision Tree,43.24324324324324
16,17,Decision Tree,36.486486486486484
17,18,Decision Tree,37.83783783783784
18,19,Decision Tree,25.675675675675674
19,20,Decision Tree,40.54054054054054
20,21,Decision Tree,33.78378378378378
21,22,Decision Tree,39.189189189189186
22,23,Decision Tree,36.486486486486484
23,24,Decision Tree,32.432432432432435
24,25,Decision Tree,32.432432432432435
25,26,Decision Tree,35.13513513513514
26,27,Decision Tree,44.5945945945946
27,28,Decision Tree,36.486486486486484
28,29,Decision Tree,35.13513513513514
29,30,Decision Tree,35.13513513513514
30,31,Decision Tree,36.486486486486484
31,32,Decision Tree,41.891891891891895
32,33,Decision Tree,41.891891891891895
33,34,Decision Tree,41.891891891891895
34,35,Decision Tree,39.189189189189186
35,36,Decision Tree,44.5945945945946
36,37,Decision Tree,31.08108108108108
37,38,Decision Tree,37.83783783783784
38,39,Decision Tree,35.13513513513514
39,40,Decision Tree,37.83783783783784
40,41,Decision Tree,39.189189189189186
41,42,Decision Tree,43.24324324324324
42,43,Decision Tree,39.189189189189186
43,44,Decision Tree,28.37837837837838
44,45,Decision Tree,35.13513513513514
45,46,Decision Tree,35.13513513513514
46,47,Decision Tree,48.64864864864865
47,48,Decision Tree,40.54054054054054
48,49,Decision Tree,48.64864864864865
49,50,Decision Tree,39.189189189189186
50,51,Decision Tree,37.83783783783784
51,52,Decision Tree,43.24324324324324
52,53,Decision Tree,39.189189189189186
53,54,Decision Tree,36.486486486486484
54,55,Decision Tree,43.24324324324324
55,56,Decision Tree,40.54054054054054
56,57,Decision Tree,40.54054054054054
57,58,Decision Tree,32.432432432432435
58,59,Decision Tree,29.72972972972973
59,60,Decision Tree,35.13513513513514
60,61,Decision Tree,40.54054054054054
61,62,Decision Tree,40.54054054054054
62,63,Decision Tree,43.24324324324324
63,64,Decision Tree,37.83783783783784
64,65,Decision Tree,40.54054054054054
65,66,Decision Tree,41.891891891891895
66,67,Decision Tree,39.189189189189186
67,68,Decision Tree,40.54054054054054
68,69,Decision Tree,39.189189189189186
69,70,Decision Tree,33.78378378378378
70,71,Decision Tree,35.13513513513514
71,72,Decision Tree,40.54054054054054
72,73,Decision Tree,41.891891891891895
73,74,Decision Tree,37.83783783783784
74,75,Decision Tree,37.83783783783784
75,76,Decision Tree,44.5945945945946
76,77,Decision Tree,36.486486486486484
77,78,Decision Tree,39.189189189189186
78,79,Decision Tree,40.54054054054054
79,80,Decision Tree,45.94594594594595
80,81,Decision Tree,32.432432432432435
81,82,Decision Tree,39.189189189189186
82,83,Decision Tree,39.189189189189186
83,84,Decision Tree,37.83783783783784
84,85,Decision Tree,37.83783783783784
85,86,Decision Tree,37.83783783783784
86,87,Decision Tree,41.891891891891895
87,88,Decision Tree,36.486486486486484
88,89,Decision Tree,37.83783783783784
89,90,Decision Tree,41.891891891891895
90,91,Decision Tree,40.54054054054054
91,92,Decision Tree,37.83783783783784
92,93,Decision Tree,37.83783783783784
93,94,Decision Tree,43.24324324324324
94,95,Decision Tree,32.432432432432435
95,96,Decision Tree,37.83783783783784
96,97,Decision Tree,37.83783783783784
97,98,Decision Tree,35.13513513513514
98,99,Decision Tree,35.13513513513514
99,100,Decision Tree,37.83783783783784
100,101,Decision Tree,36.486486486486484
101,102,Decision Tree,44.5945945945946
