,index,classifier,accuracy
0,1,Decision Tree,37.83783783783784
1,2,Decision Tree,33.78378378378378
2,3,Decision Tree,39.189189189189186
3,4,Decision Tree,35.13513513513514
4,5,Decision Tree,39.189189189189186
5,6,Decision Tree,36.486486486486484
6,7,Decision Tree,36.486486486486484
7,8,Decision Tree,32.432432432432435
8,9,Decision Tree,33.78378378378378
9,10,Decision Tree,32.432432432432435
10,11,Decision Tree,39.189189189189186
11,12,Decision Tree,37.83783783783784
12,13,Decision Tree,36.486486486486484
13,14,Decision Tree,37.83783783783784
14,15,Decision Tree,35.13513513513514
15,16,Decision Tree,37.83783783783784
16,17,Decision Tree,37.83783783783784
17,18,Decision Tree,37.83783783783784
18,19,Decision Tree,36.486486486486484
19,20,Decision Tree,39.189189189189186
20,21,Decision Tree,37.83783783783784
21,22,Decision Tree,35.13513513513514
22,23,Decision Tree,37.83783783783784
23,24,Decision Tree,37.83783783783784
24,25,Decision Tree,37.83783783783784
25,26,Decision Tree,32.432432432432435
26,27,Decision Tree,40.54054054054054
27,28,Decision Tree,33.78378378378378
28,29,Decision Tree,33.78378378378378
29,30,Decision Tree,37.83783783783784
30,31,Decision Tree,33.78378378378378
31,32,Decision Tree,40.54054054054054
32,33,Decision Tree,35.13513513513514
33,34,Decision Tree,37.83783783783784
34,35,Decision Tree,37.83783783783784
35,36,Decision Tree,36.486486486486484
36,37,Decision Tree,29.72972972972973
37,38,Decision Tree,40.54054054054054
38,39,Decision Tree,37.83783783783784
39,40,Decision Tree,37.83783783783784
40,41,Decision Tree,41.891891891891895
41,42,Decision Tree,35.13513513513514
42,43,Decision Tree,39.189189189189186
43,44,Decision Tree,40.54054054054054
44,45,Decision Tree,37.83783783783784
45,46,Decision Tree,36.486486486486484
46,47,Decision Tree,41.891891891891895
47,48,Decision Tree,37.83783783783784
48,49,Decision Tree,36.486486486486484
49,50,Decision Tree,37.83783783783784
50,51,Decision Tree,37.83783783783784
51,52,Decision Tree,32.432432432432435
52,53,Decision Tree,37.83783783783784
53,54,Decision Tree,39.189189189189186
54,55,Decision Tree,37.83783783783784
55,56,Decision Tree,33.78378378378378
56,57,Decision Tree,39.189189189189186
57,58,Decision Tree,37.83783783783784
58,59,Decision Tree,39.189189189189186
59,60,Decision Tree,35.13513513513514
60,61,Decision Tree,37.83783783783784
61,62,Decision Tree,33.78378378378378
62,63,Decision Tree,36.486486486486484
63,64,Decision Tree,37.83783783783784
64,65,Decision Tree,36.486486486486484
65,66,Decision Tree,37.83783783783784
66,67,Decision Tree,32.432432432432435
67,68,Decision Tree,33.78378378378378
68,69,Decision Tree,40.54054054054054
69,70,Decision Tree,36.486486486486484
70,71,Decision Tree,37.83783783783784
71,72,Decision Tree,32.432432432432435
72,73,Decision Tree,39.189189189189186
73,74,Decision Tree,39.189189189189186
74,75,Decision Tree,36.486486486486484
75,76,Decision Tree,33.78378378378378
76,77,Decision Tree,33.78378378378378
77,78,Decision Tree,35.13513513513514
78,79,Decision Tree,33.78378378378378
79,80,Decision Tree,39.189189189189186
80,81,Decision Tree,37.83783783783784
81,82,Decision Tree,37.83783783783784
82,83,Decision Tree,37.83783783783784
83,84,Decision Tree,33.78378378378378
84,85,Decision Tree,35.13513513513514
85,86,Decision Tree,39.189189189189186
86,87,Decision Tree,41.891891891891895
87,88,Decision Tree,41.891891891891895
88,89,Decision Tree,32.432432432432435
89,90,Decision Tree,41.891891891891895
90,91,Decision Tree,35.13513513513514
91,92,Decision Tree,39.189189189189186
92,93,Decision Tree,37.83783783783784
93,94,Decision Tree,36.486486486486484
94,95,Decision Tree,37.83783783783784
95,96,Decision Tree,33.78378378378378
96,97,Decision Tree,35.13513513513514
97,98,Decision Tree,37.83783783783784
98,99,Decision Tree,36.486486486486484
99,100,Decision Tree,35.13513513513514
100,101,Decision Tree,32.432432432432435
101,102,Decision Tree,35.13513513513514
102,103,Decision Tree,37.83783783783784
103,104,Decision Tree,36.486486486486484
104,105,Decision Tree,37.83783783783784
105,106,Decision Tree,36.486486486486484
106,107,Decision Tree,35.13513513513514
107,108,Decision Tree,36.486486486486484
108,109,Decision Tree,37.83783783783784
109,110,Decision Tree,36.486486486486484
110,111,Decision Tree,41.891891891891895
111,112,Decision Tree,40.54054054054054
112,113,Decision Tree,37.83783783783784
113,114,Decision Tree,33.78378378378378
114,115,Decision Tree,39.189189189189186
115,116,Decision Tree,37.83783783783784
116,117,Decision Tree,35.13513513513514
117,118,Decision Tree,37.83783783783784
118,119,Decision Tree,37.83783783783784
119,120,Decision Tree,39.189189189189186
