company_name,domain_name,id,horizontal,technology_segment1,technology_segment2,technology_segment3,ml_segment_data1_ap4_t1,ml_segment_data2_ap4_t1,final_level_category,business_model,specialties,short_description,about_us
rateGenius,rategenius.com,99934,FinTech,Alternative lending,Consumer lending,Auto Loans ,Others,Auto Loans ,Auto Loans ,Alternative lending-Consumer lending-Auto Loans ,"finance, online portals, service industry","rateGenius is a multi-state, web-based auto loan refinance and brokerage company.","Based in Austin, Texas, rateGenius is a multi-state, web-based auto loan refinance/brokerage company. By hosting a virtual marketplace, rateGenius brings together qualified borrowers and competitive lenders to create the best possible financing opportunity for our customers."
Vittana,vittana.org,106708,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"education, finance, lending",P2P Education Microfinance Lender,"Vittana makes it possible for young people around the world to get student loans directly from lenders like you.
Vittana envisions a world where students anywhere can get a student loan to attend community college, vocational school or college. This is the #1 thing that families around the world want. If there is one common, universal desire of all people throughout the world, it is to give their children a better chance at life than they had.
When you make a loan on Vittana, you're really doing two things. Yes, you're enabling a student to get a degree and get a job for an immediate, giant step toward a better life. But you're also doing something even bigger: you're proving to the world that education matters and student loans work for one student, one loan, one job at a time. Vittana works in the background to facilitate the loans you make directly to students but also works at the forefront of a global movement to bring student loans to young people throughout the world."
LendLayer,lendlayer.com,39693,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"big data, financial services, fintech",We finance the future of education,We finance students to attend the top accelerated learning programs.
CoderLoan,coderloan.co,33832,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"college recruiting, education, financial services, web development","Connecting businesses with talent, talent with funding for education. Changing the way we fund education, train, and hire.","Move past other job sites and agencies through us. CoderLoan connects talented, aspiring coders with companies that are looking for junior developers. If you're a student or a professional looking for a career change into programming, they will help find the right training program for you. For businesses and hiring managers, their platform makes it easy to identify candidates that have the skills and education best matched for junior positions."
GradSchoolLoans,gradschoolloans.com,59578,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"education, finance, financial services",A platform that refinances medical school student loans - helping borrowers reduce the burden of their student loan debt,"We are a FinTech marketplace lender that provides a platform to refinance medical school student loans - helping borrowers reduce the burden of their student loan debt. Simply put, we acquire leads, convert them to loans, and sell the loans to investors or to community banks who are struggling to generate organic loan volume. We partner with leading student loan origination and servicing companies to provide back-end platform support. We also contract with a federally charted bank to act as our lender of record, allowing us to lend in all 50 states.
Our product saves borrowers and average of $22,000, allows them to defer their loan payments while in their training program, and also simplifies their lives by consolidating their many loans into one new loan."
DriverUp,driverup.com,35085,FinTech,Alternative lending,Consumer lending,Auto Loans ,Others,Auto Loans ,Auto Loans ,Alternative lending-Consumer lending-Auto Loans ,"business development, financial services, fintech, lending, marketplace",DriverUp is the first online auto lending marketplace for accredited investors.,"DriverUp is an online marketplace that offers automotive financing services. The platform utilizes proprietary technology to create a direct-to-investor option for its users. Integrated with software and advanced data analytics, the marketplace enables efficient processing and direct investment in auto loans, with full transparency and reporting. It is also the first mechanism that offers accredited investors such as hedge funds, family offices, and high net-worth individuals an opportunity to participate directly in high-yield auto lending. Launched in 2012, the marketplace is operated from Dallas, Texas."
Skills Fund,skills.fund,71334,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"consumer lending, education, finance",Skills Fund is a student financing and quality assurance platform for outcomes-based skills training programs.,"Our goal is simple. We want to build the best financing tools for the best bootcamps and their students. We put together a team of leaders in student lending, higher education, and consumer protection that all see the great potential bootcamps bring to the learning community. Your students will benefit greatly from our approach, and so will your school."
Earnest,earnest.com,35204,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"banking, consumer lending, credit, financial services, fintech",We're building the modern bank for the next generation.,"Based in San Francisco, Earnest is a technology-enabled lending company that uses data science, design, and software automation to rebuild financial services and solutions. It enables customers to renegotiate their loan repayment amounts and interest rates for existing loans. The company evaluates financially-responsible peopleâ€™s full education, employment, and financial profiles, and based on their credit scores rewards them with better rates on personal loans and student loan refinancing. In addition, it offers an online dashboard which gives clients the tools they need to easily control and customize their loan payments. The company was established in 2013."
Student Loan Genius,studentloangenius.com,46145,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"fintech, personal finance","Offering the student loan employer benefit, Student Loan Genius helps companies reach the next level of recruiting and retention.","Student Loan Genius works to improve the financial outlook for all employees with student loans. It empowers companies to help employees reduce their student loan debts. The companyâ€™s fix, pay, and match approach simplifies the complex problems associated with student loan debts, reconnects employers with their employees, and helps businesses grow through employee retention and recruiting. It offers personalized advice to help employees design a customized plan and meet their goals, handles payments through payroll and implements strategies to pay off loans, and provides a matching contribution toward employeesâ€™ student loans. Student Loan Genius was established in 2013."
STILT,stilt.co,72417,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"database, data integration, wireless",We bring together public and proprietary datasets and use cutting edge data science to predict credit worthiness,"A lot of people cannot get a loan in the U.S. because they don't have a credit score. They have to pay high interest rates if they want money for things like rental deposits, tuition, downpayment for a car etc. Their mission is to end this hassle. 
Based on their experience, they know how difficult it is to get a loan from a bank that solely looks at your credit score and credit history, but not at you as an individual. They, at Stilt, acknowledge your potential and provide you that loan. For individuals without credit score or limited credit history, loan approval process is long and hectic and comes with huge interest rates. Stilt helps reduce this burden on individuals by providing them a loan at lower interest rates."
