,domain_name,Test_document,data_segment1,data_segment2
0,livecapital.com,financ onlin auction small medium busi financ onlin auction small medium busi livecapit provid onlin small busi financ livecapit offer onlin busi financ servic offer user servic decisionexpress product creat econom benefit autom credit leas decis process integr workflow technolog consult solut enabl enterpris make credit decis improv product achiev sale provid credit custom livecapit u.s.-bas compani found 1996 compani acquir dun bradstreet credibl corpor juli 27 2005,Term loans,Others
1,apnapaisa.com,credit financ internet marketplac credit financ internet marketplac apnaloan onlin marketplac provid home loan person loan credit card custom india apnaloan onlin marketplac home loan person loan credit card india idea apnaloan bank compet loan turn mean get better rate compani say apnaloan `` largest onlin marketplac loan credit card '' http //www.dialabank.com/emi-calculator.cfm,Lead generation platform,Others
2,billmelater.com,credit e-commerc payment credit e-commerc payment bill later paypal servic enabl custom purchas product without provid credit card detail bill later inc. provid payment market technolog solut multichannel retail offer paycaptur set credit tool bill later enabl custom pay purchas without provid credit card inform compani support deliv suit web-engin payment solut offer consult servic area payment risk manag market technolog bill later inc. former known i4 commerc inc. chang name bill later inc. august 2007 compani found 2000 base timonium maryland novemb 7 2008 bill later inc. oper subsidiari ebay inc,Purchase Financing ,Others
3,bfscapital.com,financ financi servic ventur capit financ financi servic ventur capit bfs capit expert work capit need small busi deliv fund solut reason re busi they???r expert work capit need small busi headquart south florida technology-en financ platform provid 2 million small busi loan merchant cash advanc busi 50 state canada affili boost capit unit kingdom they???v deliv 1 billion total financ small- mid-siz busi across 400 industri help entrepreneur like access work capit busi need direct fund sourc industri leader sinc 2002 year experi firm financi back institut bank partner help solidifi posit prefer fund sourc small busi re proud track record success support dream thousand custom ?? ? 80 repeat busi result better busi bureau a+ rate,Working Capital ,Others
4,affordit.com,e-commerc onlin portal shop e-commerc onlin portal shop affordit.com site enabl custom purchas product week payment basi affordit site allow custom purchas product financ week payment custom purchas product sing debit credit card account payment deduct consecut week payment also deduct,Purchase Financing ,Others
5,rategenius.com,financ onlin portal servic industri financ onlin portal servic industri rategenius multi-st web-bas auto loan refin brokerag compani base austin texa rategenius multi-st web-bas auto loan refinance/brokerag compani host virtual marketplac rategenius bring togeth qualifi borrow competit lender creat best possibl financ opportun custom,Others,Auto Loans 
6,thinkfinance.com,financ fintech lend person financ financ fintech lend person financ think financ provid lender abil rapid launch onlin loan product market-lead applic servic featur think financ power onlin lend 15+ year use lead technolog analyt risk market servic cortex platform provid lender abil rapid launch onlin loan product market-lead applic servic featur optim portfolio result cortex platform lender leverag secur technolog applic decis origin servic along option risk manag market oper servic,Others,Others
7,icanbuy.com,financ fintech real estat financ fintech real estat financi real estat consum websit base santa ana california busi sinc 2006 icanbuy provid accur real-tim mortgag loan rate comparison instant consum base uniqu financi credit profil icanbuy???????? disrupt technolog platform develop cut confus mortgag market inform empow homebuy make sound financi decis find lowest mortgag rate unlik tradit mortgag comparison site simpli captur consum inform without provid mortgag rate inform icanbuy provid consum depth loan rate inform allow consum compar lender loan product select lender want work learn www.icanbuy.com,Others,Others
8,lendinero.com,financ fintech financ fintech lendinero compani provid short term alternative-fund small medium size exist busi lendinero ventur capit firm provid short-term fund solut smes ancillari servic assist client view manag account cloud addit firm offer rang financi solut smes includ lendireno loan merchant cash advanc loan sba loan addit firm also carri advisori servic assist client obtain financ lendinero found 2011 gil zapata base florida,Term loans,Others
9,bilbus.com,financ financ bilbus work capit platform help small busi invoic collect connect commerci lender via singl dashboard bilbus unlock commerci lend smbs give busi visibl work need cash simplifi meet fund gap bilbus work capit platform enabl small busi invoic collect connect commerci lender via singl dashboard,Working Capital ,Others
10,lendfriend.com,payment payment lendfriend offer softwar product provid support user loan??? creation propos approv repay lendfriend fintech startup focus undeserv lend market team built 3 product onlin p2p lend platform target friend famili grew 3mm+ loan multipl underwrit model util proprietari data tradit brick mortar high-interest lender identifi custom profil target larger loan lower interest rate loan repay disproport credit score onlin platform match high-risk borrow aggreg network onlin lender place loan prepaid card product 's purpos bank underbank lendfriend part ** angelpad http //angelpad.org 3** 2011,Others,Education Loans 
11,daric.com,analyt analyt daric peer-to-p lend platform provid person small busi loan daric peer peer lend platform extend person small busi loan competit rate use big data,Others,Others
12,promedhcf.com,financ financ prome healthcar financ altern invest compani special medic practic healthcar busi prome healthcar financ former promac found 2007 headquart hauppaug ny prome healthcar financ first financ compani fund type electron payment proceed ach eft credit card receipt e-check process recur debit arc back offic convers,Term loans,Others
13,yattos.com,financ financ yatto social fund platform enabl user organ social fund circl use facebook account yatto new social fund platform base trust reput social inner circl yatto let organ social fund circl a.k.a yatto use facebook account invit trust friend famili peer dear one everi particip yatto receiv social fund group differ date make his/her dream come true fulfil person caus famili urgenc educ cost healthcar travel comput kid endeavor worldwid caus etc,Others,Micro Finance 
14,enduranceln.com,"crowdfund financ fintech crowdfund financ fintech endur lend network web-bas lender small medium busi unit state endur lend network web-bas lender focus small medium busi unit state provid loan 25,000 500,000 high-qual entrepreneur look expans capit equip purchas general need",Term loans,Others
15,l2c.com,analyt predict analyt servic industri analyt predict analyt servic industri l2c nation 's lead provid advanc consum score analyt solut l2c nation 's lead provid advanc consum score analyt solut l2c leverag altern payment asset data creat new predict credit collect market score 260 million american l2c????????s client includ lead institut financi servic retail healthcar automot telecommun media entertain industri,Others,Credit rating platforms
16,alltuition.com,financ financ alltuit onlin search engin enabl collag student find sourc financi aid alltuit onlin search engin enabl collag student find sourc financi aid track hundr student loan provid help student find best loan elig understand real cost borrow,Others,Education Loans 
17,contigofinancial.com,credit financ credit financ contigo financi facilit web-bas platform provid employe financi product short-term loan contigo disrupt subprim lend industri offer innov financi product least access partner employ provid socially-respons short-term low-cost loan offer benefit employe lack strong credit histori credit extend employe robust web-bas platform proprietari underwrit model contigo graduat jumpstart foundri acceler program winner vanderbilt univers 's sohr grant startup,Personal loans,Others
